feat0,feat1,feat2,feat3,feat4,depth,distance,MMAP
color,daisy,edge,gabor,hog,None,d1,0.09234882432413442
color,daisy,edge,gabor,hog,300,d1,0.12338150587437274
color,daisy,edge,gabor,hog,200,d1,0.152705352244169
color,daisy,edge,gabor,hog,100,d1,0.22100210662889638
color,daisy,edge,gabor,hog,50,d1,0.2702899020162767
color,daisy,edge,gabor,hog,30,d1,0.3080543806746606
color,daisy,edge,gabor,hog,10,d1,0.3596049603174603
color,daisy,edge,gabor,hog,5,d1,0.36621944444444443
color,daisy,edge,gabor,hog,3,d1,0.35883333333333334
color,daisy,edge,gabor,hog,1,d1,0.308
color,daisy,edge,gabor,vgg,None,d1,0.10190928411215362
color,daisy,edge,gabor,vgg,300,d1,0.13803005448011038
color,daisy,edge,gabor,vgg,200,d1,0.17216854909049492
color,daisy,edge,gabor,vgg,100,d1,0.24525990343668677
color,daisy,edge,gabor,vgg,50,d1,0.2972505684659393
color,daisy,edge,gabor,vgg,30,d1,0.3407589194849223
color,daisy,edge,gabor,vgg,10,d1,0.40170329365079366
color,daisy,edge,gabor,vgg,5,d1,0.41630833333333334
color,daisy,edge,gabor,vgg,3,d1,0.4088333333333333
color,daisy,edge,gabor,vgg,1,d1,0.348
color,daisy,edge,gabor,res,None,d1,0.1052895481866573
color,daisy,edge,gabor,res,300,d1,0.13419485474267762
color,daisy,edge,gabor,res,200,d1,0.17684902572339248
color,daisy,edge,gabor,res,100,d1,0.24008733675653096
color,daisy,edge,gabor,res,50,d1,0.2972488199095368
color,daisy,edge,gabor,res,30,d1,0.33002649050265154
color,daisy,edge,gabor,res,10,d1,0.37888845339644867
color,daisy,edge,gabor,res,5,d1,0.39633811960599885
color,daisy,edge,gabor,res,3,d1,0.38671396278013925
color,daisy,edge,gabor,res,1,d1,0.33481117076937505
color,daisy,edge,hog,vgg,None,d1,0.10262242783463231
color,daisy,edge,hog,vgg,300,d1,0.13916326153009664
color,daisy,edge,hog,vgg,200,d1,0.17306541652338986
color,daisy,edge,hog,vgg,100,d1,0.24682223185934138
color,daisy,edge,hog,vgg,50,d1,0.3007589911244922
color,daisy,edge,hog,vgg,30,d1,0.34511807800899647
color,daisy,edge,hog,vgg,10,d1,0.4011500925925926
color,daisy,edge,hog,vgg,5,d1,0.4231972222222222
color,daisy,edge,hog,vgg,3,d1,0.4136666666666667
color,daisy,edge,hog,vgg,1,d1,0.35
color,daisy,edge,hog,res,None,d1,0.10655566481149364
color,daisy,edge,hog,res,300,d1,0.13606810232106648
color,daisy,edge,hog,res,200,d1,0.1794646210973102
color,daisy,edge,hog,res,100,d1,0.2452217138157399
color,daisy,edge,hog,res,50,d1,0.3021108449208531
color,daisy,edge,hog,res,30,d1,0.3335464080445608
color,daisy,edge,hog,res,10,d1,0.382585393347336
color,daisy,edge,hog,res,5,d1,0.4008021354892099
color,daisy,edge,hog,res,3,d1,0.3923937652904371
color,daisy,edge,hog,res,1,d1,0.339138656149492
color,daisy,edge,vgg,res,None,d1,0.1156712813660805
color,daisy,edge,vgg,res,300,d1,0.14906689105508428
color,daisy,edge,vgg,res,200,d1,0.1967512754354798
color,daisy,edge,vgg,res,100,d1,0.2663430653159118
color,daisy,edge,vgg,res,50,d1,0.3304533204682899
color,daisy,edge,vgg,res,30,d1,0.3559634781092415
color,daisy,edge,vgg,res,10,d1,0.4204684746078782
color,daisy,edge,vgg,res,5,d1,0.4399881187039082
color,daisy,edge,vgg,res,3,d1,0.4347293730950851
color,daisy,edge,vgg,res,1,d1,0.3797115919855858
color,daisy,gabor,hog,vgg,None,d1,0.4729291665716392
color,daisy,gabor,hog,vgg,300,d1,0.5007867705367888
color,daisy,gabor,hog,vgg,200,d1,0.5330694164553347
color,daisy,gabor,hog,vgg,100,d1,0.5981198732966105
color,daisy,gabor,hog,vgg,50,d1,0.6698962667252553
color,daisy,gabor,hog,vgg,30,d1,0.7248738110443733
color,daisy,gabor,hog,vgg,10,d1,0.8337731667296547
color,daisy,gabor,hog,vgg,5,d1,0.8812000000000001
color,daisy,gabor,hog,vgg,3,d1,0.893
color,daisy,gabor,hog,vgg,1,d1,0.8719999999999999
color,daisy,gabor,hog,res,None,d1,0.48645014493325106
color,daisy,gabor,hog,res,300,d1,0.5026695737224485
color,daisy,gabor,hog,res,200,d1,0.5309203152515416
color,daisy,gabor,hog,res,100,d1,0.592237016302915
color,daisy,gabor,hog,res,50,d1,0.6569873055469607
color,daisy,gabor,hog,res,30,d1,0.7128121927394108
color,daisy,gabor,hog,res,10,d1,0.8196151078902975
color,daisy,gabor,hog,res,5,d1,0.8681448292763307
color,daisy,gabor,hog,res,3,d1,0.8808717800374147
color,daisy,gabor,hog,res,1,d1,0.8634745754761234
color,daisy,gabor,vgg,res,None,d1,0.6310510163041909
color,daisy,gabor,vgg,res,300,d1,0.6376948089015061
color,daisy,gabor,vgg,res,200,d1,0.6541182836623617
color,daisy,gabor,vgg,res,100,d1,0.7013419843108767
color,daisy,gabor,vgg,res,50,d1,0.7594065465821898
color,daisy,gabor,vgg,res,30,d1,0.8061799209307806
color,daisy,gabor,vgg,res,10,d1,0.8978576847577046
color,daisy,gabor,vgg,res,5,d1,0.9273374643323367
color,daisy,gabor,vgg,res,3,d1,0.9391590530212821
color,daisy,gabor,vgg,res,1,d1,0.9305877505707226
color,daisy,hog,vgg,res,None,d1,0.5970679048798007
color,daisy,hog,vgg,res,300,d1,0.6087019034445837
color,daisy,hog,vgg,res,200,d1,0.6283012121663775
color,daisy,hog,vgg,res,100,d1,0.6797849951392556
color,daisy,hog,vgg,res,50,d1,0.7390560656144103
color,daisy,hog,vgg,res,30,d1,0.7865093584000631
color,daisy,hog,vgg,res,10,d1,0.875227200329295
color,daisy,hog,vgg,res,5,d1,0.9101763094748389
color,daisy,hog,vgg,res,3,d1,0.9190972820609044
color,daisy,hog,vgg,res,1,d1,0.9079964505738499
color,edge,gabor,hog,vgg,None,d1,0.10197498815301845
color,edge,gabor,hog,vgg,300,d1,0.13793101994336515
color,edge,gabor,hog,vgg,200,d1,0.17186820521203025
color,edge,gabor,hog,vgg,100,d1,0.24768919156529026
color,edge,gabor,hog,vgg,50,d1,0.30096040765455473
color,edge,gabor,hog,vgg,30,d1,0.3426839314143158
color,edge,gabor,hog,vgg,10,d1,0.3990536772486772
color,edge,gabor,hog,vgg,5,d1,0.4150361111111111
color,edge,gabor,hog,vgg,3,d1,0.4103333333333333
color,edge,gabor,hog,vgg,1,d1,0.352
color,edge,gabor,hog,res,None,d1,0.1055944326359067
color,edge,gabor,hog,res,300,d1,0.134657508320656
color,edge,gabor,hog,res,200,d1,0.17787569344496304
color,edge,gabor,hog,res,100,d1,0.24179497216907772
color,edge,gabor,hog,res,50,d1,0.300542815200773
color,edge,gabor,hog,res,30,d1,0.333657673211969
color,edge,gabor,hog,res,10,d1,0.3804181701562971
color,edge,gabor,hog,res,5,d1,0.3947447388467512
color,edge,gabor,hog,res,3,d1,0.39068513476833905
color,edge,gabor,hog,res,1,d1,0.339622316280211
color,edge,gabor,vgg,res,None,d1,0.11431571651809584
color,edge,gabor,vgg,res,300,d1,0.14685785183218278
color,edge,gabor,vgg,res,200,d1,0.19386549122144545
color,edge,gabor,vgg,res,100,d1,0.2623721008947438
color,edge,gabor,vgg,res,50,d1,0.32494745693382043
color,edge,gabor,vgg,res,30,d1,0.3535430319990599
color,edge,gabor,vgg,res,10,d1,0.4194973944684677
color,edge,gabor,vgg,res,5,d1,0.4401581843279985
color,edge,gabor,vgg,res,3,d1,0.43382706851398795
color,edge,gabor,vgg,res,1,d1,0.37784660248592133
color,edge,hog,vgg,res,None,d1,0.11600055872543523
color,edge,hog,vgg,res,300,d1,0.14910773228758462
color,edge,hog,vgg,res,200,d1,0.1970430629204278
color,edge,hog,vgg,res,100,d1,0.2669001947318704
color,edge,hog,vgg,res,50,d1,0.3337336316028022
color,edge,hog,vgg,res,30,d1,0.36115010115181034
color,edge,hog,vgg,res,10,d1,0.4196209315670951
color,edge,hog,vgg,res,5,d1,0.446608630522098
color,edge,hog,vgg,res,3,d1,0.441251779423993
color,edge,hog,vgg,res,1,d1,0.3846386958414822
color,gabor,hog,vgg,res,None,d1,0.6228510753795269
color,gabor,hog,vgg,res,300,d1,0.6306379119782882
color,gabor,hog,vgg,res,200,d1,0.6490155713016392
color,gabor,hog,vgg,res,100,d1,0.6997220085544157
color,gabor,hog,vgg,res,50,d1,0.7533507885298261
color,gabor,hog,vgg,res,30,d1,0.8010475601652927
color,gabor,hog,vgg,res,10,d1,0.8884528454964965
color,gabor,hog,vgg,res,5,d1,0.9190354328107488
color,gabor,hog,vgg,res,3,d1,0.9291218636311516
color,gabor,hog,vgg,res,1,d1,0.9186269662569972
daisy,edge,gabor,hog,vgg,None,d1,0.09496680486870605
daisy,edge,gabor,hog,vgg,300,d1,0.12707919918263735
daisy,edge,gabor,hog,vgg,200,d1,0.1574775817118904
daisy,edge,gabor,hog,vgg,100,d1,0.2296904319232004
daisy,edge,gabor,hog,vgg,50,d1,0.28145006910496784
daisy,edge,gabor,hog,vgg,30,d1,0.3181585701103628
daisy,edge,gabor,hog,vgg,10,d1,0.3800026984126984
daisy,edge,gabor,hog,vgg,5,d1,0.3936972222222222
daisy,edge,gabor,hog,vgg,3,d1,0.3835
daisy,edge,gabor,hog,vgg,1,d1,0.326
daisy,edge,gabor,hog,res,None,d1,0.0989277182706395
daisy,edge,gabor,hog,res,300,d1,0.1255431122238045
daisy,edge,gabor,hog,res,200,d1,0.16570591060172485
daisy,edge,gabor,hog,res,100,d1,0.22745772333379702
daisy,edge,gabor,hog,res,50,d1,0.2801515940480621
daisy,edge,gabor,hog,res,30,d1,0.3176771921567633
daisy,edge,gabor,hog,res,10,d1,0.3664239197220621
daisy,edge,gabor,hog,res,5,d1,0.3766328033851253
daisy,edge,gabor,hog,res,3,d1,0.3674958308375491
daisy,edge,gabor,hog,res,1,d1,0.3092280954339778
daisy,edge,gabor,vgg,res,None,d1,0.108612412245757
daisy,edge,gabor,vgg,res,300,d1,0.13965640675395877
daisy,edge,gabor,vgg,res,200,d1,0.18408408604750132
daisy,edge,gabor,vgg,res,100,d1,0.2502687614337512
daisy,edge,gabor,vgg,res,50,d1,0.3112032318868469
daisy,edge,gabor,vgg,res,30,d1,0.34298487714223697
daisy,edge,gabor,vgg,res,10,d1,0.40461660266538485
daisy,edge,gabor,vgg,res,5,d1,0.4225888858217806
daisy,edge,gabor,vgg,res,3,d1,0.41432102550871897
daisy,edge,gabor,vgg,res,1,d1,0.3664814578266591
daisy,edge,hog,vgg,res,None,d1,0.1097365782677645
daisy,edge,hog,vgg,res,300,d1,0.14077165601570457
daisy,edge,hog,vgg,res,200,d1,0.18594627463238647
daisy,edge,hog,vgg,res,100,d1,0.2529140927046121
daisy,edge,hog,vgg,res,50,d1,0.3162562806838961
daisy,edge,hog,vgg,res,30,d1,0.3440316169028393
daisy,edge,hog,vgg,res,10,d1,0.4085689389597904
daisy,edge,hog,vgg,res,5,d1,0.4226023135719343
daisy,edge,hog,vgg,res,3,d1,0.41312564248903255
daisy,edge,hog,vgg,res,1,d1,0.3642250475702488
daisy,gabor,hog,vgg,res,None,d1,0.6334606233173143
daisy,gabor,hog,vgg,res,300,d1,0.6518389750116449
daisy,gabor,hog,vgg,res,200,d1,0.6704116161374665
daisy,gabor,hog,vgg,res,100,d1,0.7111603848978391
daisy,gabor,hog,vgg,res,50,d1,0.7652167101587495
daisy,gabor,hog,vgg,res,30,d1,0.8037000899734796
daisy,gabor,hog,vgg,res,10,d1,0.8921224737185183
daisy,gabor,hog,vgg,res,5,d1,0.9203675569950918
daisy,gabor,hog,vgg,res,3,d1,0.9292077871675395
daisy,gabor,hog,vgg,res,1,d1,0.9178687963223566
edge,gabor,hog,vgg,res,None,d1,0.10847527474933065
edge,gabor,hog,vgg,res,300,d1,0.1387512382849479
edge,gabor,hog,vgg,res,200,d1,0.1829485732747634
edge,gabor,hog,vgg,res,100,d1,0.2506884145121117
edge,gabor,hog,vgg,res,50,d1,0.31243268334433405
edge,gabor,hog,vgg,res,30,d1,0.3472961099115824
edge,gabor,hog,vgg,res,10,d1,0.40086603499527645
edge,gabor,hog,vgg,res,5,d1,0.4231520288620907
edge,gabor,hog,vgg,res,3,d1,0.4150130224809017
edge,gabor,hog,vgg,res,1,d1,0.3558167541093238
