feat0,depth,distance,MMAP
color,None,d1,0.15948108564041255
color,300,d1,0.1841310284810695
color,200,d1,0.21627900939308833
color,100,d1,0.2641712340948614
color,50,d1,0.31963904128011883
color,30,d1,0.3599902470123817
color,10,d1,0.4237906027966742
color,5,d1,0.44028888888888884
color,3,d1,0.43766666666666665
color,1,d1,0.39799999999999996
res,None,d1,0.7413266832266242
res,300,d1,0.7474262277299265
res,200,d1,0.7579105309253378
res,100,d1,0.7891071401800219
res,50,d1,0.8280086480011251
res,30,d1,0.8621978597589345
res,10,d1,0.9292562915672222
res,5,d1,0.951062137991008
res,3,d1,0.9548486255746318
res,1,d1,0.949793632923664
