feat0,feat1,feat2,feat3,feat4,feat5,feat6,depth,distance,MMAP
color,daisy,edge,gabor,hog,vgg,res,None,d1,0.08679475319804604
color,daisy,edge,gabor,hog,vgg,res,300,d1,0.10681000762003556
color,daisy,edge,gabor,hog,vgg,res,200,d1,0.13731461085937371
color,daisy,edge,gabor,hog,vgg,res,100,d1,0.1853993577069965
color,daisy,edge,gabor,hog,vgg,res,50,d1,0.2333013043874902
color,daisy,edge,gabor,hog,vgg,res,30,d1,0.2696032069078346
color,daisy,edge,gabor,hog,vgg,res,10,d1,0.3122717031062619
color,daisy,edge,gabor,hog,vgg,res,5,d1,0.31693492604460094
color,daisy,edge,gabor,hog,vgg,res,3,d1,0.30594691517059935
color,daisy,edge,gabor,hog,vgg,res,1,d1,0.2716928669885326
