feat0,feat1,feat2,feat3,feat4,depth,distance,MMAP
color,daisy,edge,gabor,hog,None,d1,0.08059412221163048
color,daisy,edge,gabor,hog,300,d1,0.10451285423337582
color,daisy,edge,gabor,hog,200,d1,0.12932103885715826
color,daisy,edge,gabor,hog,100,d1,0.18119073515224215
color,daisy,edge,gabor,hog,50,d1,0.22842698856060967
color,daisy,edge,gabor,hog,30,d1,0.26095158480022124
color,daisy,edge,gabor,hog,10,d1,0.301787037037037
color,daisy,edge,gabor,hog,5,d1,0.30597499999999994
color,daisy,edge,gabor,hog,3,d1,0.294
color,daisy,edge,gabor,hog,1,d1,0.26
color,daisy,edge,gabor,vgg,None,d1,0.08085579079422323
color,daisy,edge,gabor,vgg,300,d1,0.10500623075474874
color,daisy,edge,gabor,vgg,200,d1,0.12881316779649887
color,daisy,edge,gabor,vgg,100,d1,0.18322431457601546
color,daisy,edge,gabor,vgg,50,d1,0.23068610640324938
color,daisy,edge,gabor,vgg,30,d1,0.2606693495260847
color,daisy,edge,gabor,vgg,10,d1,0.3060374338624338
color,daisy,edge,gabor,vgg,5,d1,0.30538055555555554
color,daisy,edge,gabor,vgg,3,d1,0.2968333333333333
color,daisy,edge,gabor,vgg,1,d1,0.254
color,daisy,edge,gabor,res,None,d1,0.08591617376154666
color,daisy,edge,gabor,res,300,d1,0.10584429946115538
color,daisy,edge,gabor,res,200,d1,0.1366152244508541
color,daisy,edge,gabor,res,100,d1,0.18408712112897366
color,daisy,edge,gabor,res,50,d1,0.2350418308580655
color,daisy,edge,gabor,res,30,d1,0.26596780300791806
color,daisy,edge,gabor,res,10,d1,0.31032743847283323
color,daisy,edge,gabor,res,5,d1,0.311025580451922
color,daisy,edge,gabor,res,3,d1,0.30354319450759076
color,daisy,edge,gabor,res,1,d1,0.2622298154202179
color,daisy,edge,hog,vgg,None,d1,0.08050215348147134
color,daisy,edge,hog,vgg,300,d1,0.10431194038693717
color,daisy,edge,hog,vgg,200,d1,0.12853981369098416
color,daisy,edge,hog,vgg,100,d1,0.1836168851821346
color,daisy,edge,hog,vgg,50,d1,0.23042681371187704
color,daisy,edge,hog,vgg,30,d1,0.2637289850304272
color,daisy,edge,hog,vgg,10,d1,0.3016581216931217
color,daisy,edge,hog,vgg,5,d1,0.3047138888888889
color,daisy,edge,hog,vgg,3,d1,0.29333333333333333
color,daisy,edge,hog,vgg,1,d1,0.252
color,daisy,edge,hog,res,None,d1,0.08699288793001546
color,daisy,edge,hog,res,300,d1,0.10770090303028051
color,daisy,edge,hog,res,200,d1,0.1392644372006624
color,daisy,edge,hog,res,100,d1,0.18900794963229747
color,daisy,edge,hog,res,50,d1,0.24039222972029303
color,daisy,edge,hog,res,30,d1,0.2748317777636383
color,daisy,edge,hog,res,10,d1,0.3185737827317162
color,daisy,edge,hog,res,5,d1,0.32056112638651335
color,daisy,edge,hog,res,3,d1,0.31116456379304674
color,daisy,edge,hog,res,1,d1,0.27560700840267405
color,daisy,edge,vgg,res,None,d1,0.08661077295740252
color,daisy,edge,vgg,res,300,d1,0.10678288849270955
color,daisy,edge,vgg,res,200,d1,0.1369997240801354
color,daisy,edge,vgg,res,100,d1,0.185920070235379
color,daisy,edge,vgg,res,50,d1,0.2367580406478214
color,daisy,edge,vgg,res,30,d1,0.26928927611773434
color,daisy,edge,vgg,res,10,d1,0.3102600375024395
color,daisy,edge,vgg,res,5,d1,0.31307281237663076
color,daisy,edge,vgg,res,3,d1,0.3074172628483774
color,daisy,edge,vgg,res,1,d1,0.26900174524477927
color,daisy,gabor,hog,vgg,None,d1,0.221510181413972
color,daisy,gabor,hog,vgg,300,d1,0.2553131926371017
color,daisy,gabor,hog,vgg,200,d1,0.2993092463439392
color,daisy,gabor,hog,vgg,100,d1,0.36866850582790767
color,daisy,gabor,hog,vgg,50,d1,0.4374605069037706
color,daisy,gabor,hog,vgg,30,d1,0.48499193880437075
color,daisy,gabor,hog,vgg,10,d1,0.5850617740614764
color,daisy,gabor,hog,vgg,5,d1,0.6229583333333334
color,daisy,gabor,hog,vgg,3,d1,0.6303333333333334
color,daisy,gabor,hog,vgg,1,d1,0.5840000000000001
color,daisy,gabor,hog,res,None,d1,0.18678310849737415
color,daisy,gabor,hog,res,300,d1,0.20193717601546815
color,daisy,gabor,hog,res,200,d1,0.23093704514261393
color,daisy,gabor,hog,res,100,d1,0.28822790532029047
color,daisy,gabor,hog,res,50,d1,0.3484739394394948
color,daisy,gabor,hog,res,30,d1,0.3900568681384942
color,daisy,gabor,hog,res,10,d1,0.45818351457534356
color,daisy,gabor,hog,res,5,d1,0.4783559385632142
color,daisy,gabor,hog,res,3,d1,0.48241290554990246
color,daisy,gabor,hog,res,1,d1,0.4315562303193882
color,daisy,gabor,vgg,res,None,d1,0.2608393099408474
color,daisy,gabor,vgg,res,300,d1,0.28209969513462285
color,daisy,gabor,vgg,res,200,d1,0.3211757459867864
color,daisy,gabor,vgg,res,100,d1,0.40020504489751063
color,daisy,gabor,vgg,res,50,d1,0.46124869028789367
color,daisy,gabor,vgg,res,30,d1,0.5011538467310036
color,daisy,gabor,vgg,res,10,d1,0.595451893755562
color,daisy,gabor,vgg,res,5,d1,0.6273786310603454
color,daisy,gabor,vgg,res,3,d1,0.6384530245296499
color,daisy,gabor,vgg,res,1,d1,0.5957765232703314
color,daisy,hog,vgg,res,None,d1,0.23927735753475454
color,daisy,hog,vgg,res,300,d1,0.2586023193008516
color,daisy,hog,vgg,res,200,d1,0.2944947660327081
color,daisy,hog,vgg,res,100,d1,0.36279595408554727
color,daisy,hog,vgg,res,50,d1,0.42860375547471696
color,daisy,hog,vgg,res,30,d1,0.4723815681099057
color,daisy,hog,vgg,res,10,d1,0.5630067374494739
color,daisy,hog,vgg,res,5,d1,0.5868623878701278
color,daisy,hog,vgg,res,3,d1,0.5911330463482166
color,daisy,hog,vgg,res,1,d1,0.5436448047996035
color,edge,gabor,hog,vgg,None,d1,0.08089355709519715
color,edge,gabor,hog,vgg,300,d1,0.1048539323632633
color,edge,gabor,hog,vgg,200,d1,0.1295941105819953
color,edge,gabor,hog,vgg,100,d1,0.18358436191076521
color,edge,gabor,hog,vgg,50,d1,0.23076648544739364
color,edge,gabor,hog,vgg,30,d1,0.2615293634803803
color,edge,gabor,hog,vgg,10,d1,0.3086049338624339
color,edge,gabor,hog,vgg,5,d1,0.3103638888888889
color,edge,gabor,hog,vgg,3,d1,0.29966666666666664
color,edge,gabor,hog,vgg,1,d1,0.26
color,edge,gabor,hog,res,None,d1,0.08669622782217791
color,edge,gabor,hog,res,300,d1,0.10672936901067627
color,edge,gabor,hog,res,200,d1,0.13768789520722946
color,edge,gabor,hog,res,100,d1,0.18936033673324068
color,edge,gabor,hog,res,50,d1,0.23927797126198094
color,edge,gabor,hog,res,30,d1,0.2683566521546544
color,edge,gabor,hog,res,10,d1,0.31547947375933705
color,edge,gabor,hog,res,5,d1,0.3151700550261954
