feat0,feat1,depth,distance,MMAP
color,daisy,None,d1,0.182467167415008
color,daisy,300,d1,0.20836724682945754
color,daisy,200,d1,0.23867410228603256
color,daisy,100,d1,0.2941722035156715
color,daisy,50,d1,0.34556091754950363
color,daisy,30,d1,0.3906072505396574
color,daisy,10,d1,0.45990865866717057
color,daisy,5,d1,0.4777722222222222
color,daisy,3,d1,0.4763333333333334
color,daisy,1,d1,0.43200000000000005
color,edge,None,d1,0.08209755661969696
color,edge,300,d1,0.10758011068488889
color,edge,200,d1,0.13333743445330437
color,edge,100,d1,0.1871946178206869
color,edge,50,d1,0.23407843593669747
color,edge,30,d1,0.2724425215376667
color,edge,10,d1,0.3174137698412698
color,edge,5,d1,0.31556666666666666
color,edge,3,d1,0.308
color,edge,1,d1,0.268
color,gabor,None,d1,0.1959715708336827
color,gabor,300,d1,0.22262334317926818
color,gabor,200,d1,0.254025439984517
color,gabor,100,d1,0.30706464769860914
color,gabor,50,d1,0.3572059692471275
color,gabor,30,d1,0.39642709337405835
color,gabor,10,d1,0.4623762931468884
color,gabor,5,d1,0.4859888888888889
color,gabor,3,d1,0.4888333333333334
color,gabor,1,d1,0.4480000000000001
color,hog,None,d1,0.17399496006396184
color,hog,300,d1,0.19689531808677532
color,hog,200,d1,0.2263544288652147
color,hog,100,d1,0.27596089089447334
color,hog,50,d1,0.33002166754601125
color,hog,30,d1,0.3730829500616336
color,hog,10,d1,0.4359849886621315
color,hog,5,d1,0.45993611111111116
color,hog,3,d1,0.4578333333333333
color,hog,1,d1,0.41400000000000003
color,vgg,None,d1,0.3088916962916143
color,vgg,300,d1,0.33785272593080556
color,vgg,200,d1,0.37863623340027525
color,vgg,100,d1,0.45037839252443296
color,vgg,50,d1,0.5239279811047142
color,vgg,30,d1,0.5715878110531958
color,vgg,10,d1,0.6856796822247416
color,vgg,5,d1,0.7276138888888889
color,vgg,3,d1,0.7348333333333333
color,vgg,1,d1,0.6859999999999999
color,res,None,d1,0.2404390478851878
color,res,300,d1,0.2560856231957138
color,res,200,d1,0.28468497581765734
color,res,100,d1,0.3432156530992434
color,res,50,d1,0.3935394650527938
color,res,30,d1,0.4300907459044925
color,res,10,d1,0.49920886539400455
color,res,5,d1,0.5157925993883424
color,res,3,d1,0.5155100085959219
