feat0,feat1,feat2,feat3,feat4,feat5,depth,distance,MMAP
color,daisy,edge,gabor,hog,vgg,None,d1,0.082751625710415
color,daisy,edge,gabor,hog,vgg,300,d1,0.10843707970638336
color,daisy,edge,gabor,hog,vgg,200,d1,0.13490162427048666
color,daisy,edge,gabor,hog,vgg,100,d1,0.19248025512222214
color,daisy,edge,gabor,hog,vgg,50,d1,0.24201169004696182
color,daisy,edge,gabor,hog,vgg,30,d1,0.27668142042575194
color,daisy,edge,gabor,hog,vgg,10,d1,0.320360291005291
color,daisy,edge,gabor,hog,vgg,5,d1,0.32353333333333334
color,daisy,edge,gabor,hog,vgg,3,d1,0.31233333333333335
color,daisy,edge,gabor,hog,vgg,1,d1,0.26999999999999996
color,daisy,edge,gabor,hog,res,None,d1,0.08894870059036279
color,daisy,edge,gabor,hog,res,300,d1,0.11105632491681305
color,daisy,edge,gabor,hog,res,200,d1,0.14494012642739829
color,daisy,edge,gabor,hog,res,100,d1,0.1941780078899292
color,daisy,edge,gabor,hog,res,50,d1,0.2506413197126835
color,daisy,edge,gabor,hog,res,30,d1,0.28055702557160606
color,daisy,edge,gabor,hog,res,10,d1,0.3291359629915435
color,daisy,edge,gabor,hog,res,5,d1,0.3255991091253088
color,daisy,edge,gabor,hog,res,3,d1,0.31748094604054355
color,daisy,edge,gabor,hog,res,1,d1,0.2838246876962047
color,daisy,edge,gabor,vgg,res,None,d1,0.0892288888078415
color,daisy,edge,gabor,vgg,res,300,d1,0.11106173745418639
color,daisy,edge,gabor,vgg,res,200,d1,0.14553234332707013
color,daisy,edge,gabor,vgg,res,100,d1,0.1941833291137332
color,daisy,edge,gabor,vgg,res,50,d1,0.24734742943162633
color,daisy,edge,gabor,vgg,res,30,d1,0.2791137404038338
color,daisy,edge,gabor,vgg,res,10,d1,0.32524794126515233
color,daisy,edge,gabor,vgg,res,5,d1,0.32456363898972257
color,daisy,edge,gabor,vgg,res,3,d1,0.3184620219821458
color,daisy,edge,gabor,vgg,res,1,d1,0.2732994351709522
color,daisy,edge,hog,vgg,res,None,d1,0.08956120711899278
color,daisy,edge,hog,vgg,res,300,d1,0.11193634317564191
color,daisy,edge,hog,vgg,res,200,d1,0.14633911985670725
color,daisy,edge,hog,vgg,res,100,d1,0.19654503093076672
color,daisy,edge,hog,vgg,res,50,d1,0.25212831475496794
color,daisy,edge,hog,vgg,res,30,d1,0.28339030037019325
color,daisy,edge,hog,vgg,res,10,d1,0.3251170319542095
color,daisy,edge,hog,vgg,res,5,d1,0.3262958409008718
color,daisy,edge,hog,vgg,res,3,d1,0.31920556742305967
color,daisy,edge,hog,vgg,res,1,d1,0.2749474947137486
color,daisy,gabor,hog,vgg,res,None,d1,0.3322734594215977
color,daisy,gabor,hog,vgg,res,300,d1,0.351914338736873
color,daisy,gabor,hog,vgg,res,200,d1,0.3852306575361165
color,daisy,gabor,hog,vgg,res,100,d1,0.45480000570787643
color,daisy,gabor,hog,vgg,res,50,d1,0.5177284468626407
color,daisy,gabor,hog,vgg,res,30,d1,0.565917009171793
color,daisy,gabor,hog,vgg,res,10,d1,0.6791898076866686
color,daisy,gabor,hog,vgg,res,5,d1,0.7247076517720804
color,daisy,gabor,hog,vgg,res,3,d1,0.7359183663057501
color,daisy,gabor,hog,vgg,res,1,d1,0.6987830676375567
color,edge,gabor,hog,vgg,res,None,d1,0.08960058739785434
color,edge,gabor,hog,vgg,res,300,d1,0.11135795062525458
color,edge,gabor,hog,vgg,res,200,d1,0.14558753642632852
color,edge,gabor,hog,vgg,res,100,d1,0.19562840111273525
color,edge,gabor,hog,vgg,res,50,d1,0.2513602103194456
color,edge,gabor,hog,vgg,res,30,d1,0.28144432089083227
color,edge,gabor,hog,vgg,res,10,d1,0.3300743275076221
color,edge,gabor,hog,vgg,res,5,d1,0.3299672370886767
color,edge,gabor,hog,vgg,res,3,d1,0.32458129841721167
color,edge,gabor,hog,vgg,res,1,d1,0.28383638360263747
daisy,edge,gabor,hog,vgg,res,None,d1,0.08517963479591843
daisy,edge,gabor,hog,vgg,res,300,d1,0.10419743841497274
daisy,edge,gabor,hog,vgg,res,200,d1,0.1362242191603526
daisy,edge,gabor,hog,vgg,res,100,d1,0.18435668950205014
daisy,edge,gabor,hog,vgg,res,50,d1,0.23563467700333834
daisy,edge,gabor,hog,vgg,res,30,d1,0.26308492384833
daisy,edge,gabor,hog,vgg,res,10,d1,0.3061324151151757
daisy,edge,gabor,hog,vgg,res,5,d1,0.306907190036963
daisy,edge,gabor,hog,vgg,res,3,d1,0.2947364930964002
daisy,edge,gabor,hog,vgg,res,1,d1,0.25783231818061536
