feat0,depth,distance,MMAP
color,None,d1,0.273745840033569
color,300,d1,0.2961630465461105
color,200,d1,0.33660045129836097
color,100,d1,0.4060078567829585
color,50,d1,0.4689155003206838
color,30,d1,0.5167385126786133
color,10,d1,0.6140476666036786
color,5,d1,0.6501249999999998
color,3,d1,0.6571666666666666
color,1,d1,0.6199999999999999
daisy,None,d1,0.16280608397071739
daisy,300,d1,0.19146840544281202
daisy,200,d1,0.21886498661144238
daisy,100,d1,0.26933319073091794
daisy,50,d1,0.33817077776313254
daisy,30,d1,0.38819947478860556
daisy,10,d1,0.4681827380952381
daisy,5,d1,0.4976888888888888
daisy,3,d1,0.4998333333333333
daisy,1,d1,0.44799999999999995
edge,None,d1,0.07984497418550059
edge,300,d1,0.10444648839789389
edge,200,d1,0.12755623087830303
edge,100,d1,0.18468198081643905
edge,50,d1,0.23079147797122634
edge,30,d1,0.2633062785243831
edge,10,d1,0.30129410052910055
edge,5,d1,0.3028611111111111
edge,3,d1,0.29333333333333333
edge,1,d1,0.24600000000000002
gabor,None,d1,0.12022812842424603
gabor,300,d1,0.13793501926282292
gabor,200,d1,0.15725075055883206
gabor,100,d1,0.19360799722376115
gabor,50,d1,0.2408208787202459
gabor,30,d1,0.2842245734235598
gabor,10,d1,0.3459774338624338
gabor,5,d1,0.3563027777777778
gabor,3,d1,0.3528333333333332
gabor,1,d1,0.278
hog,None,d1,0.15588723534763824
hog,300,d1,0.186295376844267
hog,200,d1,0.21355273539359182
hog,100,d1,0.26114962208792303
hog,50,d1,0.32203736825085744
hog,30,d1,0.37105410581852055
hog,10,d1,0.4496278350970017
hog,5,d1,0.4653333333333333
hog,3,d1,0.4638333333333333
hog,1,d1,0.39799999999999996
vgg,None,d1,0.6886247091135264
vgg,300,d1,0.7011049369802791
vgg,200,d1,0.7165115543086202
vgg,100,d1,0.7544434913628126
vgg,50,d1,0.8015309118015378
vgg,30,d1,0.8382983885133775
vgg,10,d1,0.9138920571932476
vgg,5,d1,0.9361583333333334
vgg,3,d1,0.9416666666666668
vgg,1,d1,0.9339999999999999
res,None,d1,0.7847471014897781
res,300,d1,0.7890477549882138
res,200,d1,0.7984412529054132
res,100,d1,0.8197136535886956
res,50,d1,0.8548868543420127
res,30,d1,0.8849250019192876
res,10,d1,0.9443550781248876
res,5,d1,0.9617886751936289
res,3,d1,0.9656239380387988
res,1,d1,0.9586962817024737
