feat0,feat1,depth,distance,MMAP
color,daisy,None,d1,0.27828940907882055
color,daisy,300,d1,0.30441680090411766
color,daisy,200,d1,0.3476269832352931
color,daisy,100,d1,0.41559229662685204
color,daisy,50,d1,0.48562211984218223
color,daisy,30,d1,0.5355341889091222
color,daisy,10,d1,0.6400811974048879
color,daisy,5,d1,0.6757805555555556
color,daisy,3,d1,0.6938333333333334
color,daisy,1,d1,0.6560000000000001
color,edge,None,d1,0.08728057544684394
color,edge,300,d1,0.11583730596056084
color,edge,200,d1,0.14262508630492954
color,edge,100,d1,0.2033904709566499
color,edge,50,d1,0.2496794489740266
color,edge,30,d1,0.2870727244898665
color,edge,10,d1,0.33227664021164016
color,edge,5,d1,0.33854166666666663
color,edge,3,d1,0.32849999999999996
color,edge,1,d1,0.28
color,gabor,None,d1,0.28598971444807814
color,gabor,300,d1,0.3082548498684348
color,gabor,200,d1,0.3491370322683041
color,gabor,100,d1,0.4196604231823742
color,gabor,50,d1,0.48406509706210504
color,gabor,30,d1,0.5334461496134973
color,gabor,10,d1,0.6241805813807004
color,gabor,5,d1,0.6658888888888889
color,gabor,3,d1,0.6683333333333333
color,gabor,1,d1,0.628
color,hog,None,d1,0.2695149390081451
color,hog,300,d1,0.29716821749580674
color,hog,200,d1,0.3314690545077946
color,hog,100,d1,0.3933686359218649
color,hog,50,d1,0.4558118829758323
color,hog,30,d1,0.5040251149432937
color,hog,10,d1,0.6096888167674477
color,hog,5,d1,0.6564944444444444
color,hog,3,d1,0.6598333333333334
color,hog,1,d1,0.616
color,vgg,None,d1,0.5394623674154172
color,vgg,300,d1,0.5487253386235782
color,vgg,200,d1,0.5830963441080815
color,vgg,100,d1,0.6560942733121244
color,vgg,50,d1,0.7186200260523026
color,vgg,30,d1,0.7641068593754043
color,vgg,10,d1,0.8590723217435123
color,vgg,5,d1,0.8937027777777777
color,vgg,3,d1,0.9006666666666666
color,vgg,1,d1,0.892
color,res,None,d1,0.5597620159428094
color,res,300,d1,0.5676597871685861
color,res,200,d1,0.6034965275406754
color,res,100,d1,0.6714924918390373
color,res,50,d1,0.7348250010266636
color,res,30,d1,0.7824956540338848
color,res,10,d1,0.8711951877746984
color,res,5,d1,0.901254938271605
color,res,3,d1,0.908962962962963
color,res,1,d1,0.8882222222222222
daisy,edge,None,d1,0.08163890188282467
daisy,edge,300,d1,0.10731427909518412
daisy,edge,200,d1,0.1313379472988091
daisy,edge,100,d1,0.19023103102817107
daisy,edge,50,d1,0.23942799768384443
daisy,edge,30,d1,0.27048891616841286
daisy,edge,10,d1,0.31590685185185186
daisy,edge,5,d1,0.3163944444444444
daisy,edge,3,d1,0.30583333333333335
daisy,edge,1,d1,0.25999999999999995
daisy,gabor,None,d1,0.18362436884541136
daisy,gabor,300,d1,0.2123446812768664
daisy,gabor,200,d1,0.2415850354655507
daisy,gabor,100,d1,0.2954344345039586
daisy,gabor,50,d1,0.36327459671736084
daisy,gabor,30,d1,0.4075932448629402
daisy,gabor,10,d1,0.5047638353489544
daisy,gabor,5,d1,0.5344027777777778
daisy,gabor,3,d1,0.5398333333333334
daisy,gabor,1,d1,0.474
daisy,hog,None,d1,0.1784722060390536
daisy,hog,300,d1,0.21444689149223603
daisy,hog,200,d1,0.24246306847955718
daisy,hog,100,d1,0.2970701826935654
daisy,hog,50,d1,0.3634560888624121
daisy,hog,30,d1,0.41462453373287367
daisy,hog,10,d1,0.5180153656462584
daisy,hog,5,d1,0.5464722222222221
