feat0,feat1,feat2,depth,distance,MMAP
color,daisy,edge,None,d1,0.08946208826862001
color,daisy,edge,300,d1,0.1191021743119832
color,daisy,edge,200,d1,0.14677474935982116
color,daisy,edge,100,d1,0.2107599730311172
color,daisy,edge,50,d1,0.26052012202771185
color,daisy,edge,30,d1,0.29922234284188204
color,daisy,edge,10,d1,0.34412018518518517
color,daisy,edge,5,d1,0.3505583333333333
color,daisy,edge,3,d1,0.34583333333333327
color,daisy,edge,1,d1,0.3
color,daisy,gabor,None,d1,0.2915005428066497
color,daisy,gabor,300,d1,0.3183246105594398
color,daisy,gabor,200,d1,0.3560544890785933
color,daisy,gabor,100,d1,0.42834779180923377
color,daisy,gabor,50,d1,0.49608222062558377
color,daisy,gabor,30,d1,0.5497847922459402
color,daisy,gabor,10,d1,0.6579155278407659
color,daisy,gabor,5,d1,0.6992416666666667
color,daisy,gabor,3,d1,0.7098333333333333
color,daisy,gabor,1,d1,0.672
color,daisy,hog,None,d1,0.2741528397856634
color,daisy,hog,300,d1,0.30749826340428293
color,daisy,hog,200,d1,0.3427392684593038
color,daisy,hog,100,d1,0.4081796371196766
color,daisy,hog,50,d1,0.4761904271839943
color,daisy,hog,30,d1,0.534911559792658
color,daisy,hog,10,d1,0.6463488460569412
color,daisy,hog,5,d1,0.6959694444444444
color,daisy,hog,3,d1,0.7024999999999999
color,daisy,hog,1,d1,0.6559999999999999
color,daisy,vgg,None,d1,0.5040785609879954
color,daisy,vgg,300,d1,0.5189423806754458
color,daisy,vgg,200,d1,0.5476839213268058
color,daisy,vgg,100,d1,0.6215790918044344
color,daisy,vgg,50,d1,0.6921498579102489
color,daisy,vgg,30,d1,0.7392825984367869
color,daisy,vgg,10,d1,0.8456838199168556
color,daisy,vgg,5,d1,0.8825749999999999
color,daisy,vgg,3,d1,0.893
color,daisy,vgg,1,d1,0.8740000000000001
color,daisy,res,None,d1,0.522186177705827
color,daisy,res,300,d1,0.530361457518119
color,daisy,res,200,d1,0.5523367646922983
color,daisy,res,100,d1,0.6184310374006808
color,daisy,res,50,d1,0.6864660792628976
color,daisy,res,30,d1,0.7427160119130061
color,daisy,res,10,d1,0.8393648714931347
color,daisy,res,5,d1,0.8736763612197629
color,daisy,res,3,d1,0.887373435574287
color,daisy,res,1,d1,0.8628950952728043
color,edge,gabor,None,d1,0.08869708912761588
color,edge,gabor,300,d1,0.11797455010523722
color,edge,gabor,200,d1,0.14561480114135186
color,edge,gabor,100,d1,0.20782728865861513
color,edge,gabor,50,d1,0.25525957917946984
color,edge,gabor,30,d1,0.2932355935389348
color,edge,gabor,10,d1,0.3356462962962963
