feat0,feat1,feat2,feat3,feat4,feat5,depth,distance,MMAP
color,daisy,edge,gabor,hog,vgg,None,d1,0.10352651174579311
color,daisy,edge,gabor,hog,vgg,300,d1,0.14046265133520783
color,daisy,edge,gabor,hog,vgg,200,d1,0.17496995903060905
color,daisy,edge,gabor,hog,vgg,100,d1,0.2492656924346732
color,daisy,edge,gabor,hog,vgg,50,d1,0.30439208995579015
color,daisy,edge,gabor,hog,vgg,30,d1,0.3466551407892291
color,daisy,edge,gabor,hog,vgg,10,d1,0.4064593518518518
color,daisy,edge,gabor,hog,vgg,5,d1,0.42381388888888893
color,daisy,edge,gabor,hog,vgg,3,d1,0.41350000000000003
color,daisy,edge,gabor,hog,vgg,1,d1,0.3559999999999999
color,daisy,edge,gabor,hog,res,None,d1,0.10716639993572911
color,daisy,edge,gabor,hog,res,300,d1,0.1367330312227206
color,daisy,edge,gabor,hog,res,200,d1,0.1804743491368731
color,daisy,edge,gabor,hog,res,100,d1,0.24478576097633314
color,daisy,edge,gabor,hog,res,50,d1,0.3045759438191251
color,daisy,edge,gabor,hog,res,30,d1,0.3360682331314105
color,daisy,edge,gabor,hog,res,10,d1,0.38447993207104403
color,daisy,edge,gabor,hog,res,5,d1,0.4051525849709286
color,daisy,edge,gabor,hog,res,3,d1,0.39223014528471184
color,daisy,edge,gabor,hog,res,1,d1,0.3432439193073868
color,daisy,edge,gabor,vgg,res,None,d1,0.11635348461106687
color,daisy,edge,gabor,vgg,res,300,d1,0.14995176569395174
color,daisy,edge,gabor,vgg,res,200,d1,0.19787565577086877
color,daisy,edge,gabor,vgg,res,100,d1,0.2666514875147383
color,daisy,edge,gabor,vgg,res,50,d1,0.3311377811292982
color,daisy,edge,gabor,vgg,res,30,d1,0.36150482752451696
color,daisy,edge,gabor,vgg,res,10,d1,0.42214084428414156
color,daisy,edge,gabor,vgg,res,5,d1,0.4425013482647383
color,daisy,edge,gabor,vgg,res,3,d1,0.4368557788530698
color,daisy,edge,gabor,vgg,res,1,d1,0.3817115919855858
color,daisy,edge,hog,vgg,res,None,d1,0.11739322223600848
color,daisy,edge,hog,vgg,res,300,d1,0.15090302963200725
color,daisy,edge,hog,vgg,res,200,d1,0.1992596837313405
color,daisy,edge,hog,vgg,res,100,d1,0.267686783876143
color,daisy,edge,hog,vgg,res,50,d1,0.33435947235073643
color,daisy,edge,hog,vgg,res,30,d1,0.36046546460075374
color,daisy,edge,hog,vgg,res,10,d1,0.4210318380637537
color,daisy,edge,hog,vgg,res,5,d1,0.4420037645246623
color,daisy,edge,hog,vgg,res,3,d1,0.4364377229667477
color,daisy,edge,hog,vgg,res,1,d1,0.38181685514348046
color,daisy,gabor,hog,vgg,res,None,d1,0.5934358954648168
color,daisy,gabor,hog,vgg,res,300,d1,0.6050486914150677
color,daisy,gabor,hog,vgg,res,200,d1,0.6260889453201899
color,daisy,gabor,hog,vgg,res,100,d1,0.6766873577062309
color,daisy,gabor,hog,vgg,res,50,d1,0.7335084113530457
color,daisy,gabor,hog,vgg,res,30,d1,0.7848753461681228
color,daisy,gabor,hog,vgg,res,10,d1,0.8788505840697465
color,daisy,gabor,hog,vgg,res,5,d1,0.9105288975529687
color,daisy,gabor,hog,vgg,res,3,d1,0.9206228134324109
color,daisy,gabor,hog,vgg,res,1,d1,0.9049768427307128
color,edge,gabor,hog,vgg,res,None,d1,0.11669203431271356
color,edge,gabor,hog,vgg,res,300,d1,0.1500101755619596
color,edge,gabor,hog,vgg,res,200,d1,0.19823619097498793
color,edge,gabor,hog,vgg,res,100,d1,0.268470073726587
color,edge,gabor,hog,vgg,res,50,d1,0.3330951122088051
color,edge,gabor,hog,vgg,res,30,d1,0.3622290488606743
color,edge,gabor,hog,vgg,res,10,d1,0.42287639010112693
color,edge,gabor,hog,vgg,res,5,d1,0.4482879783385975
color,edge,gabor,hog,vgg,res,3,d1,0.4447012735716296
color,edge,gabor,hog,vgg,res,1,d1,0.3848863738600581
daisy,edge,gabor,hog,vgg,res,None,d1,0.11021160226223443
daisy,edge,gabor,hog,vgg,res,300,d1,0.14124853577900282
daisy,edge,gabor,hog,vgg,res,200,d1,0.186620814555115
daisy,edge,gabor,hog,vgg,res,100,d1,0.25261927810135937
daisy,edge,gabor,hog,vgg,res,50,d1,0.3145622060890621
daisy,edge,gabor,hog,vgg,res,30,d1,0.34681315106245747
daisy,edge,gabor,hog,vgg,res,10,d1,0.4061241096524353
daisy,edge,gabor,hog,vgg,res,5,d1,0.4275172403061335
daisy,edge,gabor,hog,vgg,res,3,d1,0.4135352285456774
daisy,edge,gabor,hog,vgg,res,1,d1,0.3679113220800527
