feat0,feat1,feat2,depth,distance,MMAP
color,daisy,edge,None,d1,0.08007727044385268
color,daisy,edge,300,d1,0.1039606565778671
color,daisy,edge,200,d1,0.12875983018393375
color,daisy,edge,100,d1,0.17763278837272378
color,daisy,edge,50,d1,0.22301020133221988
color,daisy,edge,30,d1,0.2564977073526823
color,daisy,edge,10,d1,0.29595952380952384
color,daisy,edge,5,d1,0.2961
color,daisy,edge,3,d1,0.2905
color,daisy,edge,1,d1,0.24600000000000002
color,daisy,gabor,None,d1,0.16709748754747264
color,daisy,gabor,300,d1,0.19487821798306318
color,daisy,gabor,200,d1,0.22628750019074217
color,daisy,gabor,100,d1,0.27841058749711156
color,daisy,gabor,50,d1,0.3338349296370247
color,daisy,gabor,30,d1,0.3738807503075052
color,daisy,gabor,10,d1,0.44282340325018893
color,daisy,gabor,5,d1,0.4605194444444444
color,daisy,gabor,3,d1,0.4638333333333333
color,daisy,gabor,1,d1,0.42
color,daisy,hog,None,d1,0.15621729818835242
color,daisy,hog,300,d1,0.17989675873298439
color,daisy,hog,200,d1,0.2108411511863518
color,daisy,hog,100,d1,0.26180748567658696
color,daisy,hog,50,d1,0.3146290618170726
color,daisy,hog,30,d1,0.3516150228873041
color,daisy,hog,10,d1,0.41738496126228264
color,daisy,hog,5,d1,0.43723055555555546
color,daisy,hog,3,d1,0.43583333333333335
color,daisy,hog,1,d1,0.3899999999999999
color,daisy,vgg,None,d1,0.22443370205285965
color,daisy,vgg,300,d1,0.25836073023195494
color,daisy,vgg,200,d1,0.30359722986555643
color,daisy,vgg,100,d1,0.3708259353675834
color,daisy,vgg,50,d1,0.43693655590373337
color,daisy,vgg,30,d1,0.48845400308622877
color,daisy,vgg,10,d1,0.5927683229402873
color,daisy,vgg,5,d1,0.6254083333333333
color,daisy,vgg,3,d1,0.6308333333333332
color,daisy,vgg,1,d1,0.5880000000000001
color,daisy,res,None,d1,0.19170727935212
color,daisy,res,300,d1,0.20650114570791725
color,daisy,res,200,d1,0.23482815673735424
color,daisy,res,100,d1,0.29493985224989894
color,daisy,res,50,d1,0.3471055130651585
color,daisy,res,30,d1,0.3899496725203467
color,daisy,res,10,d1,0.45079759605725495
color,daisy,res,5,d1,0.47346543342183184
color,daisy,res,3,d1,0.468566690361582
color,daisy,res,1,d1,0.4359463628906353
color,edge,gabor,None,d1,0.08002033754679375
color,edge,gabor,300,d1,0.10391894847390766
color,edge,gabor,200,d1,0.12779130297225233
color,edge,gabor,100,d1,0.17963020853970044
color,edge,gabor,50,d1,0.2263427308903467
color,edge,gabor,30,d1,0.2577110416257765
color,edge,gabor,10,d1,0.2966394444444444
color,edge,gabor,5,d1,0.29947222222222225
color,edge,gabor,3,d1,0.2931666666666667
color,edge,gabor,1,d1,0.24
color,edge,hog,None,d1,0.08037145874142321
color,edge,hog,300,d1,0.10389018496682986
color,edge,hog,200,d1,0.12835069114940226
color,edge,hog,100,d1,0.17684164066168553
color,edge,hog,50,d1,0.22503617403438642
color,edge,hog,30,d1,0.26092597731399103
color,edge,hog,10,d1,0.2992269841269841
color,edge,hog,5,d1,0.2999333333333334
color,edge,hog,3,d1,0.294
color,edge,hog,1,d1,0.256
color,edge,vgg,None,d1,0.08066327571118023
color,edge,vgg,300,d1,0.10447858444260806
color,edge,vgg,200,d1,0.1293169888804865
color,edge,vgg,100,d1,0.18374812640570914
color,edge,vgg,50,d1,0.22949525082530361
color,edge,vgg,30,d1,0.2606209143532315
color,edge,vgg,10,d1,0.30433603174603174
color,edge,vgg,5,d1,0.30643055555555554
color,edge,vgg,3,d1,0.29583333333333334
color,edge,vgg,1,d1,0.258
color,edge,res,None,d1,0.08599585194490071
color,edge,res,300,d1,0.1052817139418096
color,edge,res,200,d1,0.13694135235082006
color,edge,res,100,d1,0.1839128726856647
color,edge,res,50,d1,0.237462578630262
color,edge,res,30,d1,0.26880030954459533
color,edge,res,10,d1,0.30985099473969446
color,edge,res,5,d1,0.31617156600804686
color,edge,res,3,d1,0.3043147941669614
color,edge,res,1,d1,0.2654199364447043
color,gabor,hog,None,d1,0.1599514127539661
color,gabor,hog,300,d1,0.1846670022631355
color,gabor,hog,200,d1,0.21724515736401165
color,gabor,hog,100,d1,0.26758100823102593
color,gabor,hog,50,d1,0.32074314590972736
color,gabor,hog,30,d1,0.36276158726218705
color,gabor,hog,10,d1,0.42567618417737463
color,gabor,hog,5,d1,0.4521833333333333
color,gabor,hog,3,d1,0.44833333333333336
color,gabor,hog,1,d1,0.4
color,gabor,vgg,None,d1,0.22926832606922118
color,gabor,vgg,300,d1,0.26507669261950206
color,gabor,vgg,200,d1,0.30917067405402326
color,gabor,vgg,100,d1,0.38067830766643207
color,gabor,vgg,50,d1,0.44537547429016194
color,gabor,vgg,30,d1,0.49424894574855316
color,gabor,vgg,10,d1,0.5983480502015621
color,gabor,vgg,5,d1,0.6384861111111111
color,gabor,vgg,3,d1,0.6491666666666666
color,gabor,vgg,1,d1,0.6040000000000001
color,gabor,res,None,d1,0.19640063713449968
color,gabor,res,300,d1,0.21210379982410593
color,gabor,res,200,d1,0.24022349822605876
color,gabor,res,100,d1,0.2984224881427869
color,gabor,res,50,d1,0.356405582327601
color,gabor,res,30,d1,0.4025169097823301
color,gabor,res,10,d1,0.4606441167633373
color,gabor,res,5,d1,0.4808988385833007
color,gabor,res,3,d1,0.4798661099965279
color,gabor,res,1,d1,0.4339705521516667
color,hog,vgg,None,d1,0.21428995236446302
color,hog,vgg,300,d1,0.24650188856685065
color,hog,vgg,200,d1,0.28793804817232027
color,hog,vgg,100,d1,0.3563604499422447
color,hog,vgg,50,d1,0.41918865656293847
color,hog,vgg,30,d1,0.4747218452411315
color,hog,vgg,10,d1,0.5671841061980348
color,hog,vgg,5,d1,0.5937583333333333
color,hog,vgg,3,d1,0.6054999999999999
color,hog,vgg,1,d1,0.556
color,hog,res,None,d1,0.17898096853754958
color,hog,res,300,d1,0.19347422568912553
color,hog,res,200,d1,0.2204456153353903
color,hog,res,100,d1,0.2726965294145697
color,hog,res,50,d1,0.326531779663639
color,hog,res,30,d1,0.3675843425687375
color,hog,res,10,d1,0.4274560661141083
color,hog,res,5,d1,0.4494399379201237
color,hog,res,3,d1,0.443975478970061
color,hog,res,1,d1,0.39784002083228087
color,vgg,res,None,d1,0.2539541906829276
color,vgg,res,300,d1,0.27325703246087096
color,vgg,res,200,d1,0.31165765995096467
color,vgg,res,100,d1,0.38557909208742175
color,vgg,res,50,d1,0.44498248867449663
