feat0,feat1,feat2,feat3,feat4,feat5,depth,distance,MMAP
color,daisy,edge,gabor,hog,vgg,None,d1,0.08094077456815961
color,daisy,edge,gabor,hog,vgg,300,d1,0.10506730603078239
color,daisy,edge,gabor,hog,vgg,200,d1,0.12991276769032092
color,daisy,edge,gabor,hog,vgg,100,d1,0.1814589256134454
color,daisy,edge,gabor,hog,vgg,50,d1,0.22694984063697454
color,daisy,edge,gabor,hog,vgg,30,d1,0.26320096915781876
color,daisy,edge,gabor,hog,vgg,10,d1,0.30326785714285714
color,daisy,edge,gabor,hog,vgg,5,d1,0.3060305555555556
color,daisy,edge,gabor,hog,vgg,3,d1,0.2996666666666667
color,daisy,edge,gabor,hog,vgg,1,d1,0.256
color,daisy,edge,gabor,hog,res,None,d1,0.08593896905084301
color,daisy,edge,gabor,hog,res,300,d1,0.1055894621132964
color,daisy,edge,gabor,hog,res,200,d1,0.13603765793934866
color,daisy,edge,gabor,hog,res,100,d1,0.18618011460985254
color,daisy,edge,gabor,hog,res,50,d1,0.23644069165148246
color,daisy,edge,gabor,hog,res,30,d1,0.2627020161948115
color,daisy,edge,gabor,hog,res,10,d1,0.3098320639668066
color,daisy,edge,gabor,hog,res,5,d1,0.30516870271207214
color,daisy,edge,gabor,hog,res,3,d1,0.29943876708659994
color,daisy,edge,gabor,hog,res,1,d1,0.26669675199241766
color,daisy,edge,gabor,vgg,res,None,d1,0.08673886606722013
color,daisy,edge,gabor,vgg,res,300,d1,0.10738143115306938
color,daisy,edge,gabor,vgg,res,200,d1,0.13749559740351136
color,daisy,edge,gabor,vgg,res,100,d1,0.1866980208450829
color,daisy,edge,gabor,vgg,res,50,d1,0.23671377538142355
color,daisy,edge,gabor,vgg,res,30,d1,0.26895641616961025
color,daisy,edge,gabor,vgg,res,10,d1,0.3146723127806719
color,daisy,edge,gabor,vgg,res,5,d1,0.3147366562812641
color,daisy,edge,gabor,vgg,res,3,d1,0.3071564798577182
color,daisy,edge,gabor,vgg,res,1,d1,0.27122396746700156
color,daisy,edge,hog,vgg,res,None,d1,0.08706314479872437
color,daisy,edge,hog,vgg,res,300,d1,0.10733155499029227
color,daisy,edge,hog,vgg,res,200,d1,0.1379057899833942
color,daisy,edge,hog,vgg,res,100,d1,0.18623459143673024
color,daisy,edge,hog,vgg,res,50,d1,0.23904936827144818
color,daisy,edge,hog,vgg,res,30,d1,0.27326780535040845
color,daisy,edge,hog,vgg,res,10,d1,0.3143972797054453
color,daisy,edge,hog,vgg,res,5,d1,0.31756465517149207
color,daisy,edge,hog,vgg,res,3,d1,0.31237912165234144
color,daisy,edge,hog,vgg,res,1,d1,0.269434493782791
color,daisy,gabor,hog,vgg,res,None,d1,0.2426179991967948
color,daisy,gabor,hog,vgg,res,300,d1,0.26279570902328897
color,daisy,gabor,hog,vgg,res,200,d1,0.301118919247315
color,daisy,gabor,hog,vgg,res,100,d1,0.36931828324875116
color,daisy,gabor,hog,vgg,res,50,d1,0.4366986335621089
color,daisy,gabor,hog,vgg,res,30,d1,0.47779435211636184
color,daisy,gabor,hog,vgg,res,10,d1,0.5672863620217644
color,daisy,gabor,hog,vgg,res,5,d1,0.5918490761789523
color,daisy,gabor,hog,vgg,res,3,d1,0.6017928461001216
color,daisy,gabor,hog,vgg,res,1,d1,0.5478825056951991
color,edge,gabor,hog,vgg,res,None,d1,0.08687684467094553
color,edge,gabor,hog,vgg,res,300,d1,0.10663875099143112
color,edge,gabor,hog,vgg,res,200,d1,0.13657619684322778
color,edge,gabor,hog,vgg,res,100,d1,0.18807087933176259
color,edge,gabor,hog,vgg,res,50,d1,0.23835812413023522
color,edge,gabor,hog,vgg,res,30,d1,0.26729322016334023
color,edge,gabor,hog,vgg,res,10,d1,0.31499539991121517
color,edge,gabor,hog,vgg,res,5,d1,0.3131187927808155
color,edge,gabor,hog,vgg,res,3,d1,0.30738170123077246
color,edge,gabor,hog,vgg,res,1,d1,0.26649898484728207
daisy,edge,gabor,hog,vgg,res,None,d1,0.0841098387400809
daisy,edge,gabor,hog,vgg,res,300,d1,0.10399413050231983
daisy,edge,gabor,hog,vgg,res,200,d1,0.13416451746894242
daisy,edge,gabor,hog,vgg,res,100,d1,0.17821101465177933
daisy,edge,gabor,hog,vgg,res,50,d1,0.23026798823305125
daisy,edge,gabor,hog,vgg,res,30,d1,0.2573196296523147
daisy,edge,gabor,hog,vgg,res,10,d1,0.29595804966581024
daisy,edge,gabor,hog,vgg,res,5,d1,0.29733047783543143
daisy,edge,gabor,hog,vgg,res,3,d1,0.2884999767461068
daisy,edge,gabor,hog,vgg,res,1,d1,0.25258942485103475
