feat0,depth,distance,MMAP
color,None,d1,0.159269259663696
color,300,d1,0.18435808918002183
color,200,d1,0.21623650316883725
color,100,d1,0.26479626249540256
color,50,d1,0.31904156456844435
color,30,d1,0.35359986038578534
color,10,d1,0.4180396475812547
color,5,d1,0.43309999999999993
color,3,d1,0.43166666666666664
color,1,d1,0.39
daisy,None,d1,0.1462080462709565
daisy,300,d1,0.17394161461335758
daisy,200,d1,0.2002340731565073
daisy,100,d1,0.25059387917375514
daisy,50,d1,0.311044321759102
daisy,30,d1,0.3597202005685376
daisy,10,d1,0.44188542233560085
daisy,5,d1,0.4636416666666667
daisy,3,d1,0.4635
daisy,1,d1,0.40800000000000003
edge,None,d1,0.07580335690298064
edge,300,d1,0.0968222601845863
edge,200,d1,0.1185777291871071
edge,100,d1,0.164915815964688
edge,50,d1,0.2121101000530777
edge,30,d1,0.23839774480673723
edge,10,d1,0.2666341600529101
edge,5,d1,0.27029444444444445
edge,3,d1,0.25849999999999995
edge,1,d1,0.21600000000000003
hog,None,d1,0.12868309472011538
hog,300,d1,0.1546589152417418
hog,200,d1,0.18117062009381718
hog,100,d1,0.22940860347764985
hog,50,d1,0.2818794972196506
hog,30,d1,0.3231442824720714
hog,10,d1,0.38055571397077353
hog,5,d1,0.3932
hog,3,d1,0.3846666666666667
hog,1,d1,0.33
vgg,None,d1,0.5925504848411866
vgg,300,d1,0.6167688671534978
vgg,200,d1,0.6401474944800192
vgg,100,d1,0.68381874680821
vgg,50,d1,0.7437838759178829
vgg,30,d1,0.7881325579016305
vgg,10,d1,0.8832210090702948
vgg,5,d1,0.9098166666666665
vgg,3,d1,0.9211666666666667
vgg,1,d1,0.9039999999999999
res,None,d1,0.7481804790598572
res,300,d1,0.7531382927973117
res,200,d1,0.7625052783552511
res,100,d1,0.7893226910550187
res,50,d1,0.8278148754886709
res,30,d1,0.863202965951216
res,10,d1,0.9285193742882177
res,5,d1,0.9484198165869219
res,3,d1,0.9526216968446071
res,1,d1,0.9460403102229727
