feat0,feat1,depth,distance,MMAP
color,daisy,None,d1,0.1610772438688395
color,daisy,300,d1,0.1863642400580361
color,daisy,200,d1,0.2191888088245547
color,daisy,100,d1,0.2682728455078635
color,daisy,50,d1,0.32196362221781255
color,daisy,30,d1,0.36181268732966954
color,daisy,10,d1,0.42708275604686313
color,daisy,5,d1,0.44706944444444446
color,daisy,3,d1,0.4456666666666667
color,daisy,1,d1,0.406
color,edge,None,d1,0.08033450570465055
color,edge,300,d1,0.10410802105146563
color,edge,200,d1,0.12822711760245212
color,edge,100,d1,0.18225830130642376
color,edge,50,d1,0.22465768806535394
color,edge,30,d1,0.25881965593941975
color,edge,10,d1,0.3011717989417989
color,edge,5,d1,0.30017499999999997
color,edge,3,d1,0.2901666666666667
color,edge,1,d1,0.25
color,gabor,None,d1,0.16680022352535712
color,gabor,300,d1,0.1939569904644541
color,gabor,200,d1,0.22538581035239796
color,gabor,100,d1,0.2757826284802008
color,gabor,50,d1,0.33236289670320823
color,gabor,30,d1,0.3691096917188906
color,gabor,10,d1,0.4370518738977072
color,gabor,5,d1,0.4575527777777777
color,gabor,3,d1,0.4543333333333333
color,gabor,1,d1,0.4159999999999999
color,hog,None,d1,0.1539065837371288
color,hog,300,d1,0.1768175614018792
color,hog,200,d1,0.20671038084395896
color,hog,100,d1,0.2560369054261601
color,hog,50,d1,0.307172382896122
color,hog,30,d1,0.34746249593768425
color,hog,10,d1,0.4119541896573444
color,hog,5,d1,0.42794444444444446
color,hog,3,d1,0.4253333333333334
color,hog,1,d1,0.37799999999999995
color,vgg,None,d1,0.22657804695405515
color,vgg,300,d1,0.25994041479756363
color,vgg,200,d1,0.30491305201332763
color,vgg,100,d1,0.3720347724174765
color,vgg,50,d1,0.43571573266664076
color,vgg,30,d1,0.49238462495815727
color,vgg,10,d1,0.5922480023305617
color,vgg,5,d1,0.6262416666666667
color,vgg,3,d1,0.6303333333333333
color,vgg,1,d1,0.584
color,res,None,d1,0.19070965893133093
color,res,300,d1,0.20498332721365192
color,res,200,d1,0.2326503368004302
color,res,100,d1,0.2910707567007893
color,res,50,d1,0.3449524697926353
color,res,30,d1,0.3869651562592102
color,res,10,d1,0.44613975409067236
color,res,5,d1,0.4684917020971136
color,res,3,d1,0.45983411654851286
color,res,1,d1,0.4273986182376276
daisy,edge,None,d1,0.0778422023806246
daisy,edge,300,d1,0.10112107443048055
