feat0,feat1,feat2,feat3,feat4,feat5,feat6,depth,distance,MMAP
color,daisy,edge,gabor,hog,vgg,res,None,d1,0.08664907392314816
color,daisy,edge,gabor,hog,vgg,res,300,d1,0.10659939203450099
color,daisy,edge,gabor,hog,vgg,res,200,d1,0.13765792948038094
color,daisy,edge,gabor,hog,vgg,res,100,d1,0.1856173285358932
color,daisy,edge,gabor,hog,vgg,res,50,d1,0.2382919643026674
color,daisy,edge,gabor,hog,vgg,res,30,d1,0.27217324434795453
color,daisy,edge,gabor,hog,vgg,res,10,d1,0.313373635839851
color,daisy,edge,gabor,hog,vgg,res,5,d1,0.31420914575620457
color,daisy,edge,gabor,hog,vgg,res,3,d1,0.3077936575808093
color,daisy,edge,gabor,hog,vgg,res,1,d1,0.2693634186590843
