feat0,feat1,feat2,depth,distance,MMAP
color,daisy,edge,None,d1,0.08127436748318592
color,daisy,edge,300,d1,0.10622234557352893
color,daisy,edge,200,d1,0.13098743121826692
color,daisy,edge,100,d1,0.18579853745227998
color,daisy,edge,50,d1,0.23112749967302776
color,daisy,edge,30,d1,0.26814347177119174
color,daisy,edge,10,d1,0.31022074074074074
color,daisy,edge,5,d1,0.30370555555555556
color,daisy,edge,3,d1,0.2943333333333333
color,daisy,edge,1,d1,0.244
color,daisy,gabor,None,d1,0.19542185948129387
color,daisy,gabor,300,d1,0.22376503646806206
color,daisy,gabor,200,d1,0.25567440215458137
color,daisy,gabor,100,d1,0.31003694597243225
color,daisy,gabor,50,d1,0.3642513156609914
color,daisy,gabor,30,d1,0.405239734738301
color,daisy,gabor,10,d1,0.48149439342403627
color,daisy,gabor,5,d1,0.5066555555555556
color,daisy,gabor,3,d1,0.5116666666666667
color,daisy,gabor,1,d1,0.458
color,daisy,hog,None,d1,0.17303602831180012
color,daisy,hog,300,d1,0.197485055105066
color,daisy,hog,200,d1,0.22568466871182924
color,daisy,hog,100,d1,0.27788566242551377
color,daisy,hog,50,d1,0.3319452221853764
color,daisy,hog,30,d1,0.3764072223461801
color,daisy,hog,10,d1,0.44911388227513227
color,daisy,hog,5,d1,0.4681833333333333
color,daisy,hog,3,d1,0.4718333333333333
color,daisy,hog,1,d1,0.43
color,daisy,vgg,None,d1,0.306755384742288
color,daisy,vgg,300,d1,0.3377556320557866
color,daisy,vgg,200,d1,0.3783233456611149
color,daisy,vgg,100,d1,0.4490546594375423
color,daisy,vgg,50,d1,0.5145722717519504
color,daisy,vgg,30,d1,0.5739173240563372
color,daisy,vgg,10,d1,0.6838372030108338
color,daisy,vgg,5,d1,0.7249972222222222
color,daisy,vgg,3,d1,0.743
color,daisy,vgg,1,d1,0.7080000000000001
color,daisy,res,None,d1,0.23269533529778427
color,daisy,res,300,d1,0.2479079673226734
color,daisy,res,200,d1,0.2792755335381454
color,daisy,res,100,d1,0.336440890826633
color,daisy,res,50,d1,0.39267986942973204
color,daisy,res,30,d1,0.43700183154977545
color,daisy,res,10,d1,0.5086237110077403
color,daisy,res,5,d1,0.5338325541474922
color,daisy,res,3,d1,0.5346320897311609
color,daisy,res,1,d1,0.4959098606931424
color,edge,gabor,None,d1,0.082077486039225
color,edge,gabor,300,d1,0.10753559565890101
color,edge,gabor,200,d1,0.13348220894462384
color,edge,gabor,100,d1,0.18802513149807687
color,edge,gabor,50,d1,0.23794679491971887
color,edge,gabor,30,d1,0.27225462611793205
color,edge,gabor,10,d1,0.3148749206349206
color,edge,gabor,5,d1,0.3122638888888889
color,edge,gabor,3,d1,0.3073333333333333
color,edge,gabor,1,d1,0.262
color,edge,hog,None,d1,0.08175288937432543
color,edge,hog,300,d1,0.10757228296120049
color,edge,hog,200,d1,0.13317388987008377
color,edge,hog,100,d1,0.1884165512627614
color,edge,hog,50,d1,0.23539685251196996
color,edge,hog,30,d1,0.27050103344112963
color,edge,hog,10,d1,0.3139586111111111
color,edge,hog,5,d1,0.3091611111111111
color,edge,hog,3,d1,0.30566666666666664
color,edge,hog,1,d1,0.26
color,edge,vgg,None,d1,0.08240957201131317
color,edge,vgg,300,d1,0.107789853979827
color,edge,vgg,200,d1,0.13287486806496696
color,edge,vgg,100,d1,0.1896057214869475
color,edge,vgg,50,d1,0.23879091711130931
color,edge,vgg,30,d1,0.27167645777510846
color,edge,vgg,10,d1,0.3168151587301587
color,edge,vgg,5,d1,0.3177888888888889
color,edge,vgg,3,d1,0.3113333333333333
color,edge,vgg,1,d1,0.264
color,edge,res,None,d1,0.0884268238677506
color,edge,res,300,d1,0.10985760680218291
color,edge,res,200,d1,0.14420459008881062
color,edge,res,100,d1,0.19352902864233523
color,edge,res,50,d1,0.24647250670409918
color,edge,res,30,d1,0.28252055171430784
