feat0,feat1,feat2,feat3,feat4,feat5,depth,distance,MMAP
color,daisy,edge,gabor,hog,vgg,None,d1,0.08348830639919161
color,daisy,edge,gabor,hog,vgg,300,d1,0.10892945664028214
color,daisy,edge,gabor,hog,vgg,200,d1,0.1347441461296905
color,daisy,edge,gabor,hog,vgg,100,d1,0.19023607975558793
color,daisy,edge,gabor,hog,vgg,50,d1,0.2385876014848423
color,daisy,edge,gabor,hog,vgg,30,d1,0.2752484390565547
color,daisy,edge,gabor,hog,vgg,10,d1,0.31800765873015874
color,daisy,edge,gabor,hog,vgg,5,d1,0.32195
color,daisy,edge,gabor,hog,vgg,3,d1,0.31733333333333325
color,daisy,edge,gabor,hog,vgg,1,d1,0.27799999999999997
color,daisy,edge,gabor,hog,res,None,d1,0.08931153438974059
color,daisy,edge,gabor,hog,res,300,d1,0.11103814314904929
color,daisy,edge,gabor,hog,res,200,d1,0.1442984886188143
color,daisy,edge,gabor,hog,res,100,d1,0.19318494552909823
color,daisy,edge,gabor,hog,res,50,d1,0.2498240378233327
color,daisy,edge,gabor,hog,res,30,d1,0.2836806036893759
color,daisy,edge,gabor,hog,res,10,d1,0.3267534499713679
color,daisy,edge,gabor,hog,res,5,d1,0.3285884767136315
color,daisy,edge,gabor,hog,res,3,d1,0.31998521733970653
color,daisy,edge,gabor,hog,res,1,d1,0.28574367634429554
color,daisy,edge,gabor,vgg,res,None,d1,0.08892514268075663
color,daisy,edge,gabor,vgg,res,300,d1,0.11035220308248558
color,daisy,edge,gabor,vgg,res,200,d1,0.14411779544036984
color,daisy,edge,gabor,vgg,res,100,d1,0.19341092868440654
color,daisy,edge,gabor,vgg,res,50,d1,0.24903014313004895
color,daisy,edge,gabor,vgg,res,30,d1,0.27716990202973796
color,daisy,edge,gabor,vgg,res,10,d1,0.32599048440331985
color,daisy,edge,gabor,vgg,res,5,d1,0.32594406622788974
color,daisy,edge,gabor,vgg,res,3,d1,0.3183998619199857
color,daisy,edge,gabor,vgg,res,1,d1,0.28004690991842696
color,daisy,edge,hog,vgg,res,None,d1,0.09041500526112543
color,daisy,edge,hog,vgg,res,300,d1,0.11272580143429747
color,daisy,edge,hog,vgg,res,200,d1,0.1484581956918155
color,daisy,edge,hog,vgg,res,100,d1,0.19719381217047746
color,daisy,edge,hog,vgg,res,50,d1,0.2541640206473208
color,daisy,edge,hog,vgg,res,30,d1,0.28606278206469843
color,daisy,edge,hog,vgg,res,10,d1,0.3353851909074948
color,daisy,edge,hog,vgg,res,5,d1,0.33491649297411674
color,daisy,edge,hog,vgg,res,3,d1,0.3265125937873616
color,daisy,edge,hog,vgg,res,1,d1,0.2945711617244125
color,daisy,gabor,hog,vgg,res,None,d1,0.3274510816532544
color,daisy,gabor,hog,vgg,res,300,d1,0.34706183693699055
color,daisy,gabor,hog,vgg,res,200,d1,0.3788084871991063
color,daisy,gabor,hog,vgg,res,100,d1,0.4516619920787023
color,daisy,gabor,hog,vgg,res,50,d1,0.5187988397418843
color,daisy,gabor,hog,vgg,res,30,d1,0.5651966066049676
color,daisy,gabor,hog,vgg,res,10,d1,0.6672042954920293
color,daisy,gabor,hog,vgg,res,5,d1,0.7208845053161874
color,daisy,gabor,hog,vgg,res,3,d1,0.7313087218938612
color,daisy,gabor,hog,vgg,res,1,d1,0.6957682841754048
color,edge,gabor,hog,vgg,res,None,d1,0.08913128808040077
color,edge,gabor,hog,vgg,res,300,d1,0.11110099673233177
color,edge,gabor,hog,vgg,res,200,d1,0.14464333558608458
color,edge,gabor,hog,vgg,res,100,d1,0.19326114345493664
color,edge,gabor,hog,vgg,res,50,d1,0.24780080206338592
color,edge,gabor,hog,vgg,res,30,d1,0.279176014338012
color,edge,gabor,hog,vgg,res,10,d1,0.3239190049778414
color,edge,gabor,hog,vgg,res,5,d1,0.3255760587537677
color,edge,gabor,hog,vgg,res,3,d1,0.3176354870046821
color,edge,gabor,hog,vgg,res,1,d1,0.27465802102953807
daisy,edge,gabor,hog,vgg,res,None,d1,0.08469452593940714
daisy,edge,gabor,hog,vgg,res,300,d1,0.10450672511570101
daisy,edge,gabor,hog,vgg,res,200,d1,0.13526253492267265
daisy,edge,gabor,hog,vgg,res,100,d1,0.18134334857371076
daisy,edge,gabor,hog,vgg,res,50,d1,0.23271784673702187
daisy,edge,gabor,hog,vgg,res,30,d1,0.259222833143315
daisy,edge,gabor,hog,vgg,res,10,d1,0.2973608216246019
daisy,edge,gabor,hog,vgg,res,5,d1,0.292839850624474
daisy,edge,gabor,hog,vgg,res,3,d1,0.28338939446060185
daisy,edge,gabor,hog,vgg,res,1,d1,0.24196197387064258
