feat0,feat1,feat2,feat3,feat4,depth,distance,MMAP
color,daisy,edge,gabor,hog,None,d1,0.08216519388731491
color,daisy,edge,gabor,hog,300,d1,0.10752991332267765
color,daisy,edge,gabor,hog,200,d1,0.13331817183606107
color,daisy,edge,gabor,hog,100,d1,0.18752382959735525
color,daisy,edge,gabor,hog,50,d1,0.23422876979023308
color,daisy,edge,gabor,hog,30,d1,0.27167718978997824
color,daisy,edge,gabor,hog,10,d1,0.3152623809523809
color,daisy,edge,gabor,hog,5,d1,0.3106444444444444
color,daisy,edge,gabor,hog,3,d1,0.302
color,daisy,edge,gabor,hog,1,d1,0.264
color,daisy,edge,gabor,vgg,None,d1,0.08296598124847307
color,daisy,edge,gabor,vgg,300,d1,0.10846353518663646
color,daisy,edge,gabor,vgg,200,d1,0.13450615541438604
color,daisy,edge,gabor,vgg,100,d1,0.19011418974453725
color,daisy,edge,gabor,vgg,50,d1,0.23806722125374957
color,daisy,edge,gabor,vgg,30,d1,0.2736306475092752
color,daisy,edge,gabor,vgg,10,d1,0.3198792724867725
color,daisy,edge,gabor,vgg,5,d1,0.32140277777777776
color,daisy,edge,gabor,vgg,3,d1,0.3135
color,daisy,edge,gabor,vgg,1,d1,0.27199999999999996
color,daisy,edge,gabor,res,None,d1,0.08865505060577554
color,daisy,edge,gabor,res,300,d1,0.1105162748795729
color,daisy,edge,gabor,res,200,d1,0.14397498640719786
color,daisy,edge,gabor,res,100,d1,0.1930546214682619
color,daisy,edge,gabor,res,50,d1,0.24780332062945068
color,daisy,edge,gabor,res,30,d1,0.2786173026593713
color,daisy,edge,gabor,res,10,d1,0.3245099857646748
color,daisy,edge,gabor,res,5,d1,0.3202256492647359
color,daisy,edge,gabor,res,3,d1,0.31129117422538477
color,daisy,edge,gabor,res,1,d1,0.2751024654739825
color,daisy,edge,hog,vgg,None,d1,0.08301119602064828
color,daisy,edge,hog,vgg,300,d1,0.10855485727919953
color,daisy,edge,hog,vgg,200,d1,0.13506775142060923
color,daisy,edge,hog,vgg,100,d1,0.18887149858100882
color,daisy,edge,hog,vgg,50,d1,0.23752064931178574
color,daisy,edge,hog,vgg,30,d1,0.27407856929616736
color,daisy,edge,hog,vgg,10,d1,0.3196424074074074
color,daisy,edge,hog,vgg,5,d1,0.3189
color,daisy,edge,hog,vgg,3,d1,0.30999999999999994
color,daisy,edge,hog,vgg,1,d1,0.264
color,daisy,edge,hog,res,None,d1,0.0885641812902686
color,daisy,edge,hog,res,300,d1,0.11016358069812032
color,daisy,edge,hog,res,200,d1,0.14353967294145603
color,daisy,edge,hog,res,100,d1,0.19297966350688117
color,daisy,edge,hog,res,50,d1,0.24948044041079354
color,daisy,edge,hog,res,30,d1,0.28037379451007005
color,daisy,edge,hog,res,10,d1,0.3241211835855541
color,daisy,edge,hog,res,5,d1,0.32696639112807846
color,daisy,edge,hog,res,3,d1,0.3194520921688104
color,daisy,edge,hog,res,1,d1,0.27676122020394467
color,daisy,edge,vgg,res,None,d1,0.08913676652342478
color,daisy,edge,vgg,res,300,d1,0.1106963192174143
color,daisy,edge,vgg,res,200,d1,0.14524465408423093
color,daisy,edge,vgg,res,100,d1,0.1937601959048068
color,daisy,edge,vgg,res,50,d1,0.2473475677802675
