feat0,feat1,depth,distance,MMAP
color,daisy,None,d1,0.2782894090788205
color,daisy,300,d1,0.30441680090411766
color,daisy,200,d1,0.3476269832352931
color,daisy,100,d1,0.41559229662685204
color,daisy,50,d1,0.48562211984218223
color,daisy,30,d1,0.5355341889091222
color,daisy,10,d1,0.6400811974048879
color,daisy,5,d1,0.6757805555555556
color,daisy,3,d1,0.6938333333333333
color,daisy,1,d1,0.6559999999999999
color,edge,None,d1,0.08728057544684394
color,edge,300,d1,0.11583730596056084
color,edge,200,d1,0.14262508630492957
color,edge,100,d1,0.20339047095664992
color,edge,50,d1,0.2496794489740266
color,edge,30,d1,0.2870727244898665
color,edge,10,d1,0.33227664021164016
color,edge,5,d1,0.33854166666666663
color,edge,3,d1,0.32849999999999996
color,edge,1,d1,0.28
color,gabor,None,d1,0.2859897144480781
color,gabor,300,d1,0.3082548498684349
color,gabor,200,d1,0.3491370322683041
color,gabor,100,d1,0.4196604231823742
color,gabor,50,d1,0.48406509706210504
color,gabor,30,d1,0.5334461496134975
color,gabor,10,d1,0.6241805813807004
color,gabor,5,d1,0.6658888888888889
color,gabor,3,d1,0.6683333333333334
color,gabor,1,d1,0.628
color,hog,None,d1,0.2695149390081451
color,hog,300,d1,0.2971682174958067
color,hog,200,d1,0.3314690545077946
color,hog,100,d1,0.39336863592186483
color,hog,50,d1,0.45581188297583247
color,hog,30,d1,0.5040251149432937
color,hog,10,d1,0.6096888167674477
color,hog,5,d1,0.6564944444444444
color,hog,3,d1,0.6598333333333332
color,hog,1,d1,0.616
color,vgg,None,d1,0.5394623674154173
color,vgg,300,d1,0.5487253386235782
color,vgg,200,d1,0.5830963441080816
color,vgg,100,d1,0.6560942733121244
color,vgg,50,d1,0.7186200260523026
color,vgg,30,d1,0.7641068593754045
color,vgg,10,d1,0.8590723217435122
color,vgg,5,d1,0.8937027777777777
color,vgg,3,d1,0.9006666666666666
color,vgg,1,d1,0.892
color,res,None,d1,0.5666380897085221
color,res,300,d1,0.5715303985063699
color,res,200,d1,0.5919144438826398
color,res,100,d1,0.6626575974432493
color,res,50,d1,0.7247913800961432
color,res,30,d1,0.7696187666861983
color,res,10,d1,0.8522682723729872
color,res,5,d1,0.8827566890391837
color,res,3,d1,0.8868620533949481
color,res,1,d1,0.8645266345281825
daisy,edge,None,d1,0.08163890188282466
daisy,edge,300,d1,0.10731427909518412
daisy,edge,200,d1,0.1313379472988091
daisy,edge,100,d1,0.19023103102817107
daisy,edge,50,d1,0.2394279976838444
daisy,edge,30,d1,0.2704889161684129
daisy,edge,10,d1,0.31590685185185186
daisy,edge,5,d1,0.3163944444444444
daisy,edge,3,d1,0.30583333333333335
daisy,edge,1,d1,0.26
daisy,gabor,None,d1,0.18362436884541136
daisy,gabor,300,d1,0.2123446812768664
daisy,gabor,200,d1,0.2415850354655507
daisy,gabor,100,d1,0.2954344345039586
daisy,gabor,50,d1,0.3632745967173608
daisy,gabor,30,d1,0.4075932448629402
daisy,gabor,10,d1,0.5047638353489543
daisy,gabor,5,d1,0.5344027777777778
daisy,gabor,3,d1,0.5398333333333333
daisy,gabor,1,d1,0.47400000000000003
daisy,hog,None,d1,0.17847220603905356
daisy,hog,300,d1,0.21444689149223606
daisy,hog,200,d1,0.24246306847955723
daisy,hog,100,d1,0.29707018269356544
daisy,hog,50,d1,0.36345608886241204
daisy,hog,30,d1,0.41462453373287367
daisy,hog,10,d1,0.5180153656462585
daisy,hog,5,d1,0.5464722222222221
daisy,hog,3,d1,0.5489999999999999
daisy,hog,1,d1,0.498
daisy,vgg,None,d1,0.5802519551629646
daisy,vgg,300,d1,0.6012275909196699
daisy,vgg,200,d1,0.622418491351034
daisy,vgg,100,d1,0.671908520360376
daisy,vgg,50,d1,0.7340967563727235
daisy,vgg,30,d1,0.7806320541476345
daisy,vgg,10,d1,0.8738901643990928
daisy,vgg,5,d1,0.9086722222222221
daisy,vgg,3,d1,0.9226666666666665
daisy,vgg,1,d1,0.9099999999999998
daisy,res,None,d1,0.6466584498887972
daisy,res,300,d1,0.6634999836587633
daisy,res,200,d1,0.6820773716441493
daisy,res,100,d1,0.7259843286230722
daisy,res,50,d1,0.7739298669844171
daisy,res,30,d1,0.8229783583395932
daisy,res,10,d1,0.9052927323835182
daisy,res,5,d1,0.9343085052968759
daisy,res,3,d1,0.9457097769791267
daisy,res,1,d1,0.9336883697657692
edge,gabor,None,d1,0.08065662062314985
edge,gabor,300,d1,0.10556524892833327
edge,gabor,200,d1,0.12880426363850345
edge,gabor,100,d1,0.18679803705380466
edge,gabor,50,d1,0.23168509246441576
edge,gabor,30,d1,0.2649192284546752
edge,gabor,10,d1,0.3034536904761905
edge,gabor,5,d1,0.30672777777777777
edge,gabor,3,d1,0.2945
edge,gabor,1,d1,0.24599999999999997
edge,hog,None,d1,0.08160940422294503
edge,hog,300,d1,0.10686723550806787
edge,hog,200,d1,0.13115045957857244
edge,hog,100,d1,0.1903812420554201
edge,hog,50,d1,0.2388024873825792
edge,hog,30,d1,0.27202410063576615
edge,hog,10,d1,0.3138736772486772
edge,hog,5,d1,0.31641111111111114
edge,hog,3,d1,0.3098333333333333
edge,hog,1,d1,0.26
edge,vgg,None,d1,0.08996926737370738
edge,vgg,300,d1,0.11983631040708075
edge,vgg,200,d1,0.1481653422420256
edge,vgg,100,d1,0.21242365797140267
edge,vgg,50,d1,0.2657134326994016
edge,vgg,30,d1,0.3061775265483951
edge,vgg,10,d1,0.3594402645502646
edge,vgg,5,d1,0.3649694444444444
edge,vgg,3,d1,0.3565
edge,vgg,1,d1,0.3
edge,res,None,d1,0.0945715991760756
edge,res,300,d1,0.12070335573835887
edge,res,200,d1,0.1581713775004386
edge,res,100,d1,0.21614045994756237
edge,res,50,d1,0.26593970298923625
edge,res,30,d1,0.30138639772767223
edge,res,10,d1,0.35217162140023334
edge,res,5,d1,0.3619461772804652
edge,res,3,d1,0.347417293619693
edge,res,1,d1,0.29459355281801103
gabor,hog,None,d1,0.17096471403816335
gabor,hog,300,d1,0.19820087698607552
gabor,hog,200,d1,0.22746775944798237
gabor,hog,100,d1,0.2802598649447586
gabor,hog,50,d1,0.34760179708599487
gabor,hog,30,d1,0.39117270757476846
gabor,hog,10,d1,0.4913427198286721
gabor,hog,5,d1,0.5118972222222222
gabor,hog,3,d1,0.5063333333333333
gabor,hog,1,d1,0.44400000000000006
gabor,vgg,None,d1,0.6378523320130428
gabor,vgg,300,d1,0.656154689884273
gabor,vgg,200,d1,0.6763293355684297
gabor,vgg,100,d1,0.7167107225477148
gabor,vgg,50,d1,0.7726631736346627
gabor,vgg,30,d1,0.817460386767339
gabor,vgg,10,d1,0.9029572297808012
gabor,vgg,5,d1,0.9327944444444444
gabor,vgg,3,d1,0.9419999999999998
gabor,vgg,1,d1,0.93
gabor,res,None,d1,0.717432722007663
gabor,res,300,d1,0.7273404910431291
gabor,res,200,d1,0.7400844955525437
gabor,res,100,d1,0.7732633830086196
gabor,res,50,d1,0.8167893361333514
gabor,res,30,d1,0.8542888230515351
gabor,res,10,d1,0.926650522029145
gabor,res,5,d1,0.9456563923348752
gabor,res,3,d1,0.9517462262539661
gabor,res,1,d1,0.9435714107014417
hog,vgg,None,d1,0.5753760799877377
hog,vgg,300,d1,0.6068589662411803
hog,vgg,200,d1,0.6308096361859613
hog,vgg,100,d1,0.6816114581359018
hog,vgg,50,d1,0.7373739573923368
hog,vgg,30,d1,0.7870303392069405
hog,vgg,10,d1,0.8819204790249434
hog,vgg,5,d1,0.9182166666666666
hog,vgg,3,d1,0.9265000000000001
hog,vgg,1,d1,0.9180000000000001
hog,res,None,d1,0.6341277197491635
hog,res,300,d1,0.660180336720757
hog,res,200,d1,0.6833835920157906
hog,res,100,d1,0.7226192652011872
hog,res,50,d1,0.7692826819623106
hog,res,30,d1,0.8093798161441528
hog,res,10,d1,0.8928068883178861
hog,res,5,d1,0.92380498890228
hog,res,3,d1,0.9336832915966042
hog,res,1,d1,0.9261017137317447
vgg,res,None,d1,0.7709379750296524
vgg,res,300,d1,0.7752879285036669
vgg,res,200,d1,0.7861109414185005
vgg,res,100,d1,0.8165945167358619
vgg,res,50,d1,0.8503274973898353
vgg,res,30,d1,0.8808555145149461
vgg,res,10,d1,0.939039518800309
vgg,res,5,d1,0.9537885016313808
vgg,res,3,d1,0.9575628941635133
vgg,res,1,d1,0.9492215342277261
