feat0,feat1,feat2,feat3,depth,distance,MMAP
color,daisy,edge,gabor,None,d1,0.09057869015090582
color,daisy,edge,gabor,300,d1,0.12072847304601422
color,daisy,edge,gabor,200,d1,0.14891563806935004
color,daisy,edge,gabor,100,d1,0.2140745365381786
color,daisy,edge,gabor,50,d1,0.26295863212542914
color,daisy,edge,gabor,30,d1,0.30093347112732916
color,daisy,edge,gabor,10,d1,0.34494841269841264
color,daisy,edge,gabor,5,d1,0.3566972222222222
color,daisy,edge,gabor,3,d1,0.3483333333333334
color,daisy,edge,gabor,1,d1,0.3
color,daisy,edge,hog,None,d1,0.0910891143445001
color,daisy,edge,hog,300,d1,0.12164997176669978
color,daisy,edge,hog,200,d1,0.15021347625418385
color,daisy,edge,hog,100,d1,0.21577190976232707
color,daisy,edge,hog,50,d1,0.26819095127986936
color,daisy,edge,hog,30,d1,0.30652868977464914
color,daisy,edge,hog,10,d1,0.35445620370370373
color,daisy,edge,hog,5,d1,0.3616055555555555
color,daisy,edge,hog,3,d1,0.35166666666666674
color,daisy,edge,hog,1,d1,0.30200000000000005
color,daisy,edge,vgg,None,d1,0.10077807816957085
color,daisy,edge,vgg,300,d1,0.13633693168170283
color,daisy,edge,vgg,200,d1,0.16991029446937378
color,daisy,edge,vgg,100,d1,0.24163840878073736
color,daisy,edge,vgg,50,d1,0.2949795125878968
color,daisy,edge,vgg,30,d1,0.3401511723801869
color,daisy,edge,vgg,10,d1,0.39473960317460316
color,daisy,edge,vgg,5,d1,0.4124472222222223
color,daisy,edge,vgg,3,d1,0.403
color,daisy,edge,vgg,1,d1,0.342
color,daisy,edge,res,None,d1,0.10450499125316798
color,daisy,edge,res,300,d1,0.13351079923569553
color,daisy,edge,res,200,d1,0.17556418161892853
color,daisy,edge,res,100,d1,0.2394082031873979
color,daisy,edge,res,50,d1,0.2940541224688952
color,daisy,edge,res,30,d1,0.3262467058437791
color,daisy,edge,res,10,d1,0.37788974636302813
color,daisy,edge,res,5,d1,0.39187098501487044
color,daisy,edge,res,3,d1,0.38361411537379025
color,daisy,edge,res,1,d1,0.33152372137666253
color,daisy,gabor,hog,None,d1,0.2843637214414256
color,daisy,gabor,hog,300,d1,0.3181550568159016
color,daisy,gabor,hog,200,d1,0.35080847552448674
color,daisy,gabor,hog,100,d1,0.4172996622036895
color,daisy,gabor,hog,50,d1,0.48593596757257196
color,daisy,gabor,hog,30,d1,0.5426730870221711
color,daisy,gabor,hog,10,d1,0.6579793824011085
color,daisy,gabor,hog,5,d1,0.7092499999999999
color,daisy,gabor,hog,3,d1,0.722
color,daisy,gabor,hog,1,d1,0.6659999999999999
