feat0,feat1,feat2,feat3,feat4,depth,distance,MMAP
color,daisy,edge,gabor,hog,None,d1,0.0804945859102056
color,daisy,edge,gabor,hog,300,d1,0.10426257204221902
color,daisy,edge,gabor,hog,200,d1,0.12976514120550625
color,daisy,edge,gabor,hog,100,d1,0.18503098850776392
color,daisy,edge,gabor,hog,50,d1,0.22892919280263718
color,daisy,edge,gabor,hog,30,d1,0.2606100943455419
color,daisy,edge,gabor,hog,10,d1,0.3043580952380952
color,daisy,edge,gabor,hog,5,d1,0.3042777777777778
color,daisy,edge,gabor,hog,3,d1,0.2945
color,daisy,edge,gabor,hog,1,d1,0.254
color,daisy,edge,gabor,vgg,None,d1,0.08101578368662089
color,daisy,edge,gabor,vgg,300,d1,0.1051544053172284
color,daisy,edge,gabor,vgg,200,d1,0.13010886268941724
color,daisy,edge,gabor,vgg,100,d1,0.1842017197050379
color,daisy,edge,gabor,vgg,50,d1,0.23113422625665753
color,daisy,edge,gabor,vgg,30,d1,0.2637523052151903
color,daisy,edge,gabor,vgg,10,d1,0.3094725925925926
color,daisy,edge,gabor,vgg,5,d1,0.31079444444444443
color,daisy,edge,gabor,vgg,3,d1,0.30499999999999994
color,daisy,edge,gabor,vgg,1,d1,0.268
color,daisy,edge,gabor,res,None,d1,0.08636222155271794
color,daisy,edge,gabor,res,300,d1,0.10668263220770498
color,daisy,edge,gabor,res,200,d1,0.13683226603872514
color,daisy,edge,gabor,res,100,d1,0.18434052170651263
color,daisy,edge,gabor,res,50,d1,0.23427462357870737
color,daisy,edge,gabor,res,30,d1,0.2681293683473371
color,daisy,edge,gabor,res,10,d1,0.3150441960396939
color,daisy,edge,gabor,res,5,d1,0.313703041455544
color,daisy,edge,gabor,res,3,d1,0.3026091142832629
color,daisy,edge,gabor,res,1,d1,0.2704403417360074
color,daisy,edge,hog,vgg,None,d1,0.08105386696000519
color,daisy,edge,hog,vgg,300,d1,0.10493262112347405
color,daisy,edge,hog,vgg,200,d1,0.13029686970213977
color,daisy,edge,hog,vgg,100,d1,0.18292022114194478
color,daisy,edge,hog,vgg,50,d1,0.23096182144162536
color,daisy,edge,hog,vgg,30,d1,0.26181587360927283
color,daisy,edge,hog,vgg,10,d1,0.3050211904761905
color,daisy,edge,hog,vgg,5,d1,0.31020833333333336
color,daisy,edge,hog,vgg,3,d1,0.3018333333333333
color,daisy,edge,hog,vgg,1,d1,0.256
color,daisy,edge,hog,res,None,d1,0.08624810122457353
color,daisy,edge,hog,res,300,d1,0.1055549745420699
color,daisy,edge,hog,res,200,d1,0.13665667328535772
color,daisy,edge,hog,res,100,d1,0.18450098795506212
color,daisy,edge,hog,res,50,d1,0.23919137344255986
color,daisy,edge,hog,res,30,d1,0.2693699563323072
color,daisy,edge,hog,res,10,d1,0.3138681780505213
color,daisy,edge,hog,res,5,d1,0.31426576503704984
color,daisy,edge,hog,res,3,d1,0.3081806083779768
