feat0,feat1,feat2,depth,distance,MMAP
color,daisy,edge,None,d1,0.08014959137582753
color,daisy,edge,300,d1,0.10397829365110495
color,daisy,edge,200,d1,0.12868337098067584
color,daisy,edge,100,d1,0.1804024983039146
color,daisy,edge,50,d1,0.22744185353427526
color,daisy,edge,30,d1,0.2603266702957412
color,daisy,edge,10,d1,0.3000833333333333
color,daisy,edge,5,d1,0.30234722222222227
color,daisy,edge,3,d1,0.2913333333333333
color,daisy,edge,1,d1,0.252
color,daisy,gabor,None,d1,0.16805236795265524
color,daisy,gabor,300,d1,0.1961688339269861
color,daisy,gabor,200,d1,0.22939456596184862
color,daisy,gabor,100,d1,0.2792005695951563
color,daisy,gabor,50,d1,0.33844479629113344
color,daisy,gabor,30,d1,0.3751701981216052
color,daisy,gabor,10,d1,0.4430332901864449
color,daisy,gabor,5,d1,0.46763055555555555
color,daisy,gabor,3,d1,0.4668333333333333
color,daisy,gabor,1,d1,0.42400000000000004
color,daisy,hog,None,d1,0.15607802942673055
color,daisy,hog,300,d1,0.17999118364975947
color,daisy,hog,200,d1,0.2104743850436734
color,daisy,hog,100,d1,0.2596083227627091
color,daisy,hog,50,d1,0.31225048635639724
color,daisy,hog,30,d1,0.3548132232534352
color,daisy,hog,10,d1,0.4216092564247921
color,daisy,hog,5,d1,0.43814166666666665
color,daisy,hog,3,d1,0.4328333333333334
color,daisy,hog,1,d1,0.38799999999999996
color,daisy,vgg,None,d1,0.22487863392462992
color,daisy,vgg,300,d1,0.25791557684254324
color,daisy,vgg,200,d1,0.3044544522530146
color,daisy,vgg,100,d1,0.36992960761398086
color,daisy,vgg,50,d1,0.43534134399396407
color,daisy,vgg,30,d1,0.48493172751703567
color,daisy,vgg,10,d1,0.5836104554043839
color,daisy,vgg,5,d1,0.6216972222222222
color,daisy,vgg,3,d1,0.6275
color,daisy,vgg,1,d1,0.5820000000000001
color,daisy,res,None,d1,0.1917660994332034
color,daisy,res,300,d1,0.20668868615571184
color,daisy,res,200,d1,0.23549578878727762
color,daisy,res,100,d1,0.29413232781162835
color,daisy,res,50,d1,0.3459516451802772
color,daisy,res,30,d1,0.3903358551654724
color,daisy,res,10,d1,0.44733846905493957
color,daisy,res,5,d1,0.4701577206667506
color,daisy,res,3,d1,0.4690512730303752
color,daisy,res,1,d1,0.42785279563917344
color,edge,gabor,None,d1,0.08019856710884579
color,edge,gabor,300,d1,0.10392555673051153
color,edge,gabor,200,d1,0.128061509439039
color,edge,gabor,100,d1,0.18172026031688238
color,edge,gabor,50,d1,0.22559737737533284
color,edge,gabor,30,d1,0.2609334505344818
color,edge,gabor,10,d1,0.3025349603174603
color,edge,gabor,5,d1,0.3025305555555555
color,edge,gabor,3,d1,0.2936666666666667
color,edge,gabor,1,d1,0.254
color,edge,hog,None,d1,0.08008697653536447
color,edge,hog,300,d1,0.10369368455321266
color,edge,hog,200,d1,0.12797398961192974
color,edge,hog,100,d1,0.1799697919019564
color,edge,hog,50,d1,0.22624250726588385
color,edge,hog,30,d1,0.25847066339088803
color,edge,hog,10,d1,0.2973636111111111
color,edge,hog,5,d1,0.2991138888888889
color,edge,hog,3,d1,0.289
color,edge,hog,1,d1,0.24599999999999997
color,edge,vgg,None,d1,0.08085475650574528
color,edge,vgg,300,d1,0.10495538888390507
color,edge,vgg,200,d1,0.1290848627377245
color,edge,vgg,100,d1,0.17957701124783487
color,edge,vgg,50,d1,0.22771853043269943
color,edge,vgg,30,d1,0.26032099559476585
color,edge,vgg,10,d1,0.3080734126984127
color,edge,vgg,5,d1,0.3079805555555556
color,edge,vgg,3,d1,0.3005
color,edge,vgg,1,d1,0.258
color,edge,res,None,d1,0.08579181730389301
color,edge,res,300,d1,0.10615093020154763
color,edge,res,200,d1,0.13589482907194145
color,edge,res,100,d1,0.18260071861954727
color,edge,res,50,d1,0.23361063393778625
color,edge,res,30,d1,0.2623236992432522
color,edge,res,10,d1,0.31026650135401423
color,edge,res,5,d1,0.3083752607843939
color,edge,res,3,d1,0.2986067215378361
color,edge,res,1,d1,0.2591528923432948
color,gabor,hog,None,d1,0.16098163157336245
color,gabor,hog,300,d1,0.18597874670251346
color,gabor,hog,200,d1,0.2177161822951674
color,gabor,hog,100,d1,0.26712335289442374
color,gabor,hog,50,d1,0.32390600355548393
color,gabor,hog,30,d1,0.36342262613437953
color,gabor,hog,10,d1,0.43020657312925176
color,gabor,hog,5,d1,0.45454722222222216
