feat0,feat1,feat2,feat3,depth,distance,MMAP
color,daisy,edge,gabor,None,d1,0.08075724797676458
color,daisy,edge,gabor,300,d1,0.10479458888355431
color,daisy,edge,gabor,200,d1,0.12942350703493843
color,daisy,edge,gabor,100,d1,0.18394363008294204
color,daisy,edge,gabor,50,d1,0.22971900209487778
color,daisy,edge,gabor,30,d1,0.26095661933210296
color,daisy,edge,gabor,10,d1,0.3043620634920635
color,daisy,edge,gabor,5,d1,0.3054972222222222
color,daisy,edge,gabor,3,d1,0.30066666666666664
color,daisy,edge,gabor,1,d1,0.258
color,daisy,edge,hog,None,d1,0.08000087065399547
color,daisy,edge,hog,300,d1,0.10383654524683258
color,daisy,edge,hog,200,d1,0.12850494673576843
color,daisy,edge,hog,100,d1,0.17948024757758765
color,daisy,edge,hog,50,d1,0.22593144586280814
color,daisy,edge,hog,30,d1,0.2561876461278762
color,daisy,edge,hog,10,d1,0.29839936507936504
color,daisy,edge,hog,5,d1,0.2986944444444445
color,daisy,edge,hog,3,d1,0.2856666666666666
color,daisy,edge,hog,1,d1,0.25000000000000006
color,daisy,edge,vgg,None,d1,0.08072789919980815
color,daisy,edge,vgg,300,d1,0.10476869361240075
color,daisy,edge,vgg,200,d1,0.1295591572987243
color,daisy,edge,vgg,100,d1,0.1814225637163347
color,daisy,edge,vgg,50,d1,0.2321715602238423
color,daisy,edge,vgg,30,d1,0.26182851682344965
color,daisy,edge,vgg,10,d1,0.3052113095238095
color,daisy,edge,vgg,5,d1,0.3047555555555555
color,daisy,edge,vgg,3,d1,0.29533333333333334
color,daisy,edge,vgg,1,d1,0.252
color,daisy,edge,res,None,d1,0.08616185210046763
color,daisy,edge,res,300,d1,0.10620128319523413
color,daisy,edge,res,200,d1,0.13692387694774788
color,daisy,edge,res,100,d1,0.18609942877829255
color,daisy,edge,res,50,d1,0.2372652206008224
color,daisy,edge,res,30,d1,0.26983871985686814
color,daisy,edge,res,10,d1,0.31166114836650183
color,daisy,edge,res,5,d1,0.3157456284284457
color,daisy,edge,res,3,d1,0.3048945016971333
color,daisy,edge,res,1,d1,0.27310700840267405
color,daisy,gabor,hog,None,d1,0.16308506799503644
color,daisy,gabor,hog,300,d1,0.18959130592351925
color,daisy,gabor,hog,200,d1,0.2216233156728476
color,daisy,gabor,hog,100,d1,0.2735436268975113
color,daisy,gabor,hog,50,d1,0.3276123170449701
color,daisy,gabor,hog,30,d1,0.3684883986118445
color,daisy,gabor,hog,10,d1,0.4387137698412698
color,daisy,gabor,hog,5,d1,0.4651222222222222
color,daisy,gabor,hog,3,d1,0.4641666666666666
color,daisy,gabor,hog,1,d1,0.42200000000000004
color,daisy,gabor,vgg,None,d1,0.23092390769294632
color,daisy,gabor,vgg,300,d1,0.26661608072819387
color,daisy,gabor,vgg,200,d1,0.313155632609837
color,daisy,gabor,vgg,100,d1,0.38324438542776457
color,daisy,gabor,vgg,50,d1,0.45326969547640483
color,daisy,gabor,vgg,30,d1,0.5064046879470058
color,daisy,gabor,vgg,10,d1,0.6048370697908794
color,daisy,gabor,vgg,5,d1,0.642063888888889
color,daisy,gabor,vgg,3,d1,0.6528333333333333
color,daisy,gabor,vgg,1,d1,0.608
color,daisy,gabor,res,None,d1,0.19808859733888368
color,daisy,gabor,res,300,d1,0.2150102698354529
color,daisy,gabor,res,200,d1,0.2431774773150886
color,daisy,gabor,res,100,d1,0.30467711967542244
color,daisy,gabor,res,50,d1,0.36120599701879064
color,daisy,gabor,res,30,d1,0.4046904466232036
color,daisy,gabor,res,10,d1,0.46746078072677055
color,daisy,gabor,res,5,d1,0.48767775927489554
color,daisy,gabor,res,3,d1,0.49011209358809976
color,daisy,gabor,res,1,d1,0.44007076480451096
color,daisy,hog,vgg,None,d1,0.21554526675466282
color,daisy,hog,vgg,300,d1,0.2479058366841961
color,daisy,hog,vgg,200,d1,0.2908325442035331
color,daisy,hog,vgg,100,d1,0.35776372909829235
color,daisy,hog,vgg,50,d1,0.42468741190037557
color,daisy,hog,vgg,30,d1,0.4766132846053317
color,daisy,hog,vgg,10,d1,0.5741327188838499
color,daisy,hog,vgg,5,d1,0.6072527777777778
color,daisy,hog,vgg,3,d1,0.613
color,daisy,hog,vgg,1,d1,0.566
color,daisy,hog,res,None,d1,0.18083544604522708
color,daisy,hog,res,300,d1,0.19494649348631066
color,daisy,hog,res,200,d1,0.22056869335958385
color,daisy,hog,res,100,d1,0.27900594256459216
color,daisy,hog,res,50,d1,0.3340002203947084
color,daisy,hog,res,30,d1,0.3719930311870297
color,daisy,hog,res,10,d1,0.43422193617704574
color,daisy,hog,res,5,d1,0.45072734071149967
color,daisy,hog,res,3,d1,0.4525375804965588
color,daisy,hog,res,1,d1,0.41204181491023595
color,daisy,vgg,res,None,d1,0.25366430528442935
color,daisy,vgg,res,300,d1,0.27320490251974755
color,daisy,vgg,res,200,d1,0.3111020910198501
color,daisy,vgg,res,100,d1,0.38622161969665586
color,daisy,vgg,res,50,d1,0.4482033349721427
color,daisy,vgg,res,30,d1,0.4878427604584708
color,daisy,vgg,res,10,d1,0.585787686174362
color,daisy,vgg,res,5,d1,0.6170977736769403
color,daisy,vgg,res,3,d1,0.6238993810054181
color,daisy,vgg,res,1,d1,0.581516228010036
color,edge,gabor,hog,None,d1,0.07993686470632932
color,edge,gabor,hog,300,d1,0.10370641715120205
color,edge,gabor,hog,200,d1,0.12723829842693912
color,edge,gabor,hog,100,d1,0.18037872723515846
color,edge,gabor,hog,50,d1,0.22375944292028208
color,edge,gabor,hog,30,d1,0.2534498732548007
color,edge,gabor,hog,10,d1,0.2976209656084656
color,edge,gabor,hog,5,d1,0.2987333333333333
color,edge,gabor,hog,3,d1,0.2871666666666666
color,edge,gabor,hog,1,d1,0.248
color,edge,gabor,vgg,None,d1,0.08078577722084214
color,edge,gabor,vgg,300,d1,0.1047603964986079
color,edge,gabor,vgg,200,d1,0.12963961383229206
color,edge,gabor,vgg,100,d1,0.18182935061141728
color,edge,gabor,vgg,50,d1,0.22865415861378538
color,edge,gabor,vgg,30,d1,0.26424530800176826
color,edge,gabor,vgg,10,d1,0.3048120767195767
color,edge,gabor,vgg,5,d1,0.30764166666666665
color,edge,gabor,vgg,3,d1,0.2956666666666667
color,edge,gabor,vgg,1,d1,0.256
color,edge,gabor,res,None,d1,0.08603942735409613
color,edge,gabor,res,300,d1,0.10610997452087463
color,edge,gabor,res,200,d1,0.13655580409952495
color,edge,gabor,res,100,d1,0.18558783833736775
color,edge,gabor,res,50,d1,0.23764941278180043
color,edge,gabor,res,30,d1,0.26626035289849526
color,edge,gabor,res,10,d1,0.31537500375011984
color,edge,gabor,res,5,d1,0.3147234428110589
color,edge,gabor,res,3,d1,0.3034338320491571
color,edge,gabor,res,1,d1,0.27321227156056876
color,edge,hog,vgg,None,d1,0.08049131255914459
color,edge,hog,vgg,300,d1,0.10442533302587277
color,edge,hog,vgg,200,d1,0.12855569733524078
color,edge,hog,vgg,100,d1,0.1819405575532474
color,edge,hog,vgg,50,d1,0.22469019019893705
color,edge,hog,vgg,30,d1,0.26021435577202195
color,edge,hog,vgg,10,d1,0.3021947751322751
color,edge,hog,vgg,5,d1,0.30256388888888885
color,edge,hog,vgg,3,d1,0.29100000000000004
color,edge,hog,vgg,1,d1,0.254
color,edge,hog,res,None,d1,0.08632249693566503
color,edge,hog,res,300,d1,0.10657827630500562
color,edge,hog,res,200,d1,0.13723070577397797
color,edge,hog,res,100,d1,0.18444403095805462
color,edge,hog,res,50,d1,0.23568056786698488
color,edge,hog,res,30,d1,0.26663479999609513
color,edge,hog,res,10,d1,0.3095268213919723
color,edge,hog,res,5,d1,0.31027764200310637
color,edge,hog,res,3,d1,0.30509875006314635
color,edge,hog,res,1,d1,0.26900174524477927
color,edge,vgg,res,None,d1,0.08639666050144715
color,edge,vgg,res,300,d1,0.10623693970115991
color,edge,vgg,res,200,d1,0.1361540013960893
color,edge,vgg,res,100,d1,0.18499857852777976
color,edge,vgg,res,50,d1,0.23794144119554356
color,edge,vgg,res,30,d1,0.2701411806331139
color,edge,vgg,res,10,d1,0.316863896795308
color,edge,vgg,res,5,d1,0.3161828374641068
color,edge,vgg,res,3,d1,0.30774216824913414
color,edge,vgg,res,1,d1,0.26910700840267404
color,gabor,hog,vgg,None,d1,0.21992452784915353
color,gabor,hog,vgg,300,d1,0.25357011065955404
color,gabor,hog,vgg,200,d1,0.2965456749074542
color,gabor,hog,vgg,100,d1,0.36433379534909954
color,gabor,hog,vgg,50,d1,0.43408952776736087
color,gabor,hog,vgg,30,d1,0.4824902166953093
color,gabor,hog,vgg,10,d1,0.5784077308515999
color,gabor,hog,vgg,5,d1,0.6139027777777778
color,gabor,hog,vgg,3,d1,0.6226666666666667
color,gabor,hog,vgg,1,d1,0.578
color,gabor,hog,res,None,d1,0.1860252469522032
color,gabor,hog,res,300,d1,0.20133042061876982
color,gabor,hog,res,200,d1,0.22922240701220484
