feat0,feat1,feat2,feat3,feat4,feat5,depth,distance,MMAP
color,daisy,edge,gabor,hog,vgg,None,d1,0.08132145730807039
color,daisy,edge,gabor,hog,vgg,300,d1,0.10561622952682236
color,daisy,edge,gabor,hog,vgg,200,d1,0.13054748079573297
color,daisy,edge,gabor,hog,vgg,100,d1,0.18328629400742794
color,daisy,edge,gabor,hog,vgg,50,d1,0.22920744064140083
color,daisy,edge,gabor,hog,vgg,30,d1,0.26691993905453687
color,daisy,edge,gabor,hog,vgg,10,d1,0.3083798544973545
color,daisy,edge,gabor,hog,vgg,5,d1,0.3123361111111111
color,daisy,edge,gabor,hog,vgg,3,d1,0.30316666666666664
color,daisy,edge,gabor,hog,vgg,1,d1,0.264
color,daisy,edge,gabor,hog,res,None,d1,0.08648484685486474
color,daisy,edge,gabor,hog,res,300,d1,0.10665740935107572
color,daisy,edge,gabor,hog,res,200,d1,0.13767431960393547
color,daisy,edge,gabor,hog,res,100,d1,0.184077402785936
color,daisy,edge,gabor,hog,res,50,d1,0.23764645336556092
color,daisy,edge,gabor,hog,res,30,d1,0.26758946765667274
color,daisy,edge,gabor,hog,res,10,d1,0.31263790759440263
color,daisy,edge,gabor,hog,res,5,d1,0.31376433923260544
color,daisy,edge,gabor,hog,res,3,d1,0.3031377739048018
color,daisy,edge,gabor,hog,res,1,d1,0.2661353484836457
color,daisy,edge,gabor,vgg,res,None,d1,0.08656689331733051
color,daisy,edge,gabor,vgg,res,300,d1,0.10671498506254157
color,daisy,edge,gabor,vgg,res,200,d1,0.13666577298630186
color,daisy,edge,gabor,vgg,res,100,d1,0.1854833509895872
color,daisy,edge,gabor,vgg,res,50,d1,0.23798788317408331
color,daisy,edge,gabor,vgg,res,30,d1,0.2706073282561917
color,daisy,edge,gabor,vgg,res,10,d1,0.316690106461688
color,daisy,edge,gabor,vgg,res,5,d1,0.31760197708876764
color,daisy,edge,gabor,vgg,res,3,d1,0.312004982146623
color,daisy,edge,gabor,vgg,res,1,d1,0.27300174524477927
color,daisy,edge,hog,vgg,res,None,d1,0.08677072909626415
color,daisy,edge,hog,vgg,res,300,d1,0.10596706495394594
color,daisy,edge,hog,vgg,res,200,d1,0.1365967081295185
color,daisy,edge,hog,vgg,res,100,d1,0.18712402573834297
color,daisy,edge,hog,vgg,res,50,d1,0.23892593212125593
color,daisy,edge,hog,vgg,res,30,d1,0.2723063333785908
color,daisy,edge,hog,vgg,res,10,d1,0.3161821404897514
color,daisy,edge,hog,vgg,res,5,d1,0.3172735578242802
color,daisy,edge,hog,vgg,res,3,d1,0.3110356091277144
color,daisy,edge,hog,vgg,res,1,d1,0.2730145044154332
color,daisy,gabor,hog,vgg,res,None,d1,0.2437320818266842
color,daisy,gabor,hog,vgg,res,300,d1,0.2638745750320464
color,daisy,gabor,hog,vgg,res,200,d1,0.3000658237881852
color,daisy,gabor,hog,vgg,res,100,d1,0.37238600857698445
color,daisy,gabor,hog,vgg,res,50,d1,0.4368275681653181
color,daisy,gabor,hog,vgg,res,30,d1,0.4794867901447747
color,daisy,gabor,hog,vgg,res,10,d1,0.5668719593278172
color,daisy,gabor,hog,vgg,res,5,d1,0.5925285319055442
color,daisy,gabor,hog,vgg,res,3,d1,0.6018786499591453
color,daisy,gabor,hog,vgg,res,1,d1,0.5518825056951993
color,edge,gabor,hog,vgg,res,None,d1,0.08724832329811455
color,edge,gabor,hog,vgg,res,300,d1,0.10791677568705499
color,edge,gabor,hog,vgg,res,200,d1,0.1392050352735996
color,edge,gabor,hog,vgg,res,100,d1,0.18887556229616717
color,edge,gabor,hog,vgg,res,50,d1,0.2423941424863159
color,edge,gabor,hog,vgg,res,30,d1,0.27410475163834486
color,edge,gabor,hog,vgg,res,10,d1,0.3193015812079409
color,edge,gabor,hog,vgg,res,5,d1,0.3217759752402167
color,edge,gabor,hog,vgg,res,3,d1,0.31502863195742453
color,edge,gabor,hog,vgg,res,1,d1,0.27960700840267405
daisy,edge,gabor,hog,vgg,res,None,d1,0.08371791357604023
daisy,edge,gabor,hog,vgg,res,300,d1,0.1031345140887398
daisy,edge,gabor,hog,vgg,res,200,d1,0.13176931489217833
daisy,edge,gabor,hog,vgg,res,100,d1,0.18025614704722606
daisy,edge,gabor,hog,vgg,res,50,d1,0.2286744278887512
daisy,edge,gabor,hog,vgg,res,30,d1,0.25976705243148634
daisy,edge,gabor,hog,vgg,res,10,d1,0.2984620782448532
daisy,edge,gabor,hog,vgg,res,5,d1,0.29155455870525526
daisy,edge,gabor,hog,vgg,res,3,d1,0.28740062148034284
daisy,edge,gabor,hog,vgg,res,1,d1,0.24991312626142353
