feat0,feat1,feat2,feat3,feat4,depth,distance,MMAP
color,daisy,edge,gabor,hog,None,d1,0.0819915153891191
color,daisy,edge,gabor,hog,300,d1,0.10765489325365664
color,daisy,edge,gabor,hog,200,d1,0.13275297309011821
color,daisy,edge,gabor,hog,100,d1,0.1888674377198083
color,daisy,edge,gabor,hog,50,d1,0.23644050460535357
color,daisy,edge,gabor,hog,30,d1,0.26908255640806295
color,daisy,edge,gabor,hog,10,d1,0.31016608465608464
color,daisy,edge,gabor,hog,5,d1,0.3128694444444444
color,daisy,edge,gabor,hog,3,d1,0.30066666666666664
color,daisy,edge,gabor,hog,1,d1,0.254
color,daisy,edge,gabor,vgg,None,d1,0.0828663212687863
color,daisy,edge,gabor,vgg,300,d1,0.10885981521533512
color,daisy,edge,gabor,vgg,200,d1,0.13531397216433894
color,daisy,edge,gabor,vgg,100,d1,0.19030526203475565
color,daisy,edge,gabor,vgg,50,d1,0.24103602527323517
color,daisy,edge,gabor,vgg,30,d1,0.2718353755107243
color,daisy,edge,gabor,vgg,10,d1,0.3220901587301587
color,daisy,edge,gabor,vgg,5,d1,0.31968888888888886
color,daisy,edge,gabor,vgg,3,d1,0.31466666666666665
color,daisy,edge,gabor,vgg,1,d1,0.272
color,daisy,edge,gabor,res,None,d1,0.08933636773727899
color,daisy,edge,gabor,res,300,d1,0.1119965118532659
color,daisy,edge,gabor,res,200,d1,0.14700108152630542
color,daisy,edge,gabor,res,100,d1,0.1951858609171778
color,daisy,edge,gabor,res,50,d1,0.2491086821976905
color,daisy,edge,gabor,res,30,d1,0.279002904136537
color,daisy,edge,gabor,res,10,d1,0.32678641681723464
color,daisy,edge,gabor,res,5,d1,0.3280919244039987
color,daisy,edge,gabor,res,3,d1,0.3180892328059511
color,daisy,edge,gabor,res,1,d1,0.27478179027714633
color,daisy,edge,hog,vgg,None,d1,0.08268526437964935
color,daisy,edge,hog,vgg,300,d1,0.1083049872146527
color,daisy,edge,hog,vgg,200,d1,0.1342138129623559
color,daisy,edge,hog,vgg,100,d1,0.18857361919323362
color,daisy,edge,hog,vgg,50,d1,0.23736815800007055
color,daisy,edge,hog,vgg,30,d1,0.2712978590518157
color,daisy,edge,hog,vgg,10,d1,0.3198123544973545
color,daisy,edge,hog,vgg,5,d1,0.31644999999999995
color,daisy,edge,hog,vgg,3,d1,0.3108333333333333
color,daisy,edge,hog,vgg,1,d1,0.26
color,daisy,edge,hog,res,None,d1,0.08854959507760342
color,daisy,edge,hog,res,300,d1,0.11013819403004285
color,daisy,edge,hog,res,200,d1,0.14303326187461476
color,daisy,edge,hog,res,100,d1,0.1909267393471384
color,daisy,edge,hog,res,50,d1,0.2466662253299641
color,daisy,edge,hog,res,30,d1,0.27805381164075127
color,daisy,edge,hog,res,10,d1,0.31780428655690524
color,daisy,edge,hog,res,5,d1,0.3165945036215934
color,daisy,edge,hog,res,3,d1,0.3162284588762917
color,daisy,edge,hog,res,1,d1,0.2709464939944816
color,daisy,edge,vgg,res,None,d1,0.09004601915825809
color,daisy,edge,vgg,res,300,d1,0.11200891451406958
color,daisy,edge,vgg,res,200,d1,0.14718468187094574
color,daisy,edge,vgg,res,100,d1,0.19845969173368466
color,daisy,edge,vgg,res,50,d1,0.2546124467515421
color,daisy,edge,vgg,res,30,d1,0.2848481866144164
color,daisy,edge,vgg,res,10,d1,0.3310465437960922
color,daisy,edge,vgg,res,5,d1,0.33098665240561526
color,daisy,edge,vgg,res,3,d1,0.32449082954655706
color,daisy,edge,vgg,res,1,d1,0.2809123059602936
color,daisy,gabor,hog,vgg,None,d1,0.29786408353142796
color,daisy,gabor,hog,vgg,300,d1,0.3322316165059345
color,daisy,gabor,hog,vgg,200,d1,0.36729321124637393
color,daisy,gabor,hog,vgg,100,d1,0.43881143000029516
color,daisy,gabor,hog,vgg,50,d1,0.5103926853397405
color,daisy,gabor,hog,vgg,30,d1,0.5660592010730617
color,daisy,gabor,hog,vgg,10,d1,0.6778401045603425
color,daisy,gabor,hog,vgg,5,d1,0.7232833333333335
color,daisy,gabor,hog,vgg,3,d1,0.7338333333333334
color,daisy,gabor,hog,vgg,1,d1,0.6980000000000001
color,daisy,gabor,hog,res,None,d1,0.22684291460239916
color,daisy,gabor,hog,res,300,d1,0.24492883888499983
color,daisy,gabor,hog,res,200,d1,0.27359469336093867
color,daisy,gabor,hog,res,100,d1,0.3287854273930275
color,daisy,gabor,hog,res,50,d1,0.3888297542012462
color,daisy,gabor,hog,res,30,d1,0.4352049011219324
color,daisy,gabor,hog,res,10,d1,0.5234957192386012
color,daisy,gabor,hog,res,5,d1,0.5415308671844534
color,daisy,gabor,hog,res,3,d1,0.540114956423006
color,daisy,gabor,hog,res,1,d1,0.4899532741080728
color,daisy,gabor,vgg,res,None,d1,0.35071636635717995
color,daisy,gabor,vgg,res,300,d1,0.3663807172647239
color,daisy,gabor,vgg,res,200,d1,0.405294563361953
color,daisy,gabor,vgg,res,100,d1,0.4814481438300777
color,daisy,gabor,vgg,res,50,d1,0.5438209250970135
color,daisy,gabor,vgg,res,30,d1,0.59240115546489
color,daisy,gabor,vgg,res,10,d1,0.691062491569119
color,daisy,gabor,vgg,res,5,d1,0.7363174326352088
color,daisy,gabor,vgg,res,3,d1,0.748292818636472
color,daisy,gabor,vgg,res,1,d1,0.7078445721804855
color,daisy,hog,vgg,res,None,d1,0.32047970206852505
color,daisy,hog,vgg,res,300,d1,0.3398586494340882
color,daisy,hog,vgg,res,200,d1,0.3741234135257015
color,daisy,hog,vgg,res,100,d1,0.44408750704503047
color,daisy,hog,vgg,res,50,d1,0.5085593114203085
color,daisy,hog,vgg,res,30,d1,0.5602334867210602
color,daisy,hog,vgg,res,10,d1,0.66719260508267
color,daisy,hog,vgg,res,5,d1,0.7087482050650589
color,daisy,hog,vgg,res,3,d1,0.7210423987633741
color,daisy,hog,vgg,res,1,d1,0.6780969350566874
color,edge,gabor,hog,vgg,None,d1,0.083270310050239
color,edge,gabor,hog,vgg,300,d1,0.10867531065091157
color,edge,gabor,hog,vgg,200,d1,0.13520470460035813
color,edge,gabor,hog,vgg,100,d1,0.18864065173439964
color,edge,gabor,hog,vgg,50,d1,0.2400152298250532
color,edge,gabor,hog,vgg,30,d1,0.27257231194370485
color,edge,gabor,hog,vgg,10,d1,0.32352572751322745
color,edge,gabor,hog,vgg,5,d1,0.3260555555555555
color,edge,gabor,hog,vgg,3,d1,0.31316666666666665
color,edge,gabor,hog,vgg,1,d1,0.268
color,edge,gabor,hog,res,None,d1,0.08789838788779682
color,edge,gabor,hog,res,300,d1,0.10932319771110616
color,edge,gabor,hog,res,200,d1,0.14188316072749715
color,edge,gabor,hog,res,100,d1,0.19004346708289774
color,edge,gabor,hog,res,50,d1,0.24224523127343378
color,edge,gabor,hog,res,30,d1,0.2761663583454244
color,edge,gabor,hog,res,10,d1,0.3203962718491137
color,edge,gabor,hog,res,5,d1,0.31888765067921415
color,edge,gabor,hog,res,3,d1,0.31168893427407357
color,edge,gabor,hog,res,1,d1,0.26531092780628385
color,edge,gabor,vgg,res,None,d1,0.0896441857622272
color,edge,gabor,vgg,res,300,d1,0.11124374765747393
color,edge,gabor,vgg,res,200,d1,0.1467498071426502
color,edge,gabor,vgg,res,100,d1,0.19761338101205983
color,edge,gabor,vgg,res,50,d1,0.2523563671675866
color,edge,gabor,vgg,res,30,d1,0.28354853164606
color,edge,gabor,vgg,res,10,d1,0.33065121131209885
color,edge,gabor,vgg,res,5,d1,0.3289680875196355
color,edge,gabor,vgg,res,3,d1,0.32217374106228597
color,edge,gabor,vgg,res,1,d1,0.2736141613804153
color,edge,hog,vgg,res,None,d1,0.08871378247540214
color,edge,hog,vgg,res,300,d1,0.10986510623416532
color,edge,hog,vgg,res,200,d1,0.14402603579598897
color,edge,hog,vgg,res,100,d1,0.19284251348260795
color,edge,hog,vgg,res,50,d1,0.24765076073419143
color,edge,hog,vgg,res,30,d1,0.2772124858655164
color,edge,hog,vgg,res,10,d1,0.3243002478549047
color,edge,hog,vgg,res,5,d1,0.3240636332564351
color,edge,hog,vgg,res,3,d1,0.3209714929320192
color,edge,hog,vgg,res,1,d1,0.2759777977440516
color,gabor,hog,vgg,res,None,d1,0.33117425815711726
color,gabor,hog,vgg,res,300,d1,0.35064271530285396
color,gabor,hog,vgg,res,200,d1,0.3838093187730586
color,gabor,hog,vgg,res,100,d1,0.4536031175510772
color,gabor,hog,vgg,res,50,d1,0.5144609220096038
color,gabor,hog,vgg,res,30,d1,0.5653082778067496
color,gabor,hog,vgg,res,10,d1,0.6715629951866593
color,gabor,hog,vgg,res,5,d1,0.721026372385641
color,gabor,hog,vgg,res,3,d1,0.7317842738330355
color,gabor,hog,vgg,res,1,d1,0.6978346359522831
daisy,edge,gabor,hog,vgg,None,d1,0.07873158823894742
daisy,edge,gabor,hog,vgg,300,d1,0.10189449439478357
daisy,edge,gabor,hog,vgg,200,d1,0.12631533092962238
daisy,edge,gabor,hog,vgg,100,d1,0.17682668394107293
daisy,edge,gabor,hog,vgg,50,d1,0.22602638550134985
daisy,edge,gabor,hog,vgg,30,d1,0.254467646865583
daisy,edge,gabor,hog,vgg,10,d1,0.2925553373015873
daisy,edge,gabor,hog,vgg,5,d1,0.2995416666666667
daisy,edge,gabor,hog,vgg,3,d1,0.29216666666666663
daisy,edge,gabor,hog,vgg,1,d1,0.24
daisy,edge,gabor,hog,res,None,d1,0.08432714156861872
daisy,edge,gabor,hog,res,300,d1,0.10308898706436345
daisy,edge,gabor,hog,res,200,d1,0.1350493512096802
daisy,edge,gabor,hog,res,100,d1,0.17957486773616985
daisy,edge,gabor,hog,res,50,d1,0.22973021610121294
daisy,edge,gabor,hog,res,30,d1,0.2626391245379843
daisy,edge,gabor,hog,res,10,d1,0.2979316491868493
daisy,edge,gabor,hog,res,5,d1,0.29689877699222383
