feat0,feat1,feat2,depth,distance,MMAP
color,daisy,edge,None,d1,0.08208515419249297
color,daisy,edge,300,d1,0.1079144759894619
color,daisy,edge,200,d1,0.13389296029885447
color,daisy,edge,100,d1,0.18980290468360506
color,daisy,edge,50,d1,0.23623516109527132
color,daisy,edge,30,d1,0.2733528538854528
color,daisy,edge,10,d1,0.3175510714285714
color,daisy,edge,5,d1,0.31347500000000006
color,daisy,edge,3,d1,0.3028333333333333
color,daisy,edge,1,d1,0.256
color,daisy,gabor,None,d1,0.1972458218028289
color,daisy,gabor,300,d1,0.22647764584293917
color,daisy,gabor,200,d1,0.25771823012468675
color,daisy,gabor,100,d1,0.3144591107153198
color,daisy,gabor,50,d1,0.36762475721751153
color,daisy,gabor,30,d1,0.411204835640292
color,daisy,gabor,10,d1,0.4886262153565129
color,daisy,gabor,5,d1,0.5145166666666667
color,daisy,gabor,3,d1,0.5155000000000001
color,daisy,gabor,1,d1,0.472
color,daisy,hog,None,d1,0.17453794898166095
color,daisy,hog,300,d1,0.19879251131324213
color,daisy,hog,200,d1,0.22960315706731002
color,daisy,hog,100,d1,0.28072042323206814
color,daisy,hog,50,d1,0.3315810708916789
color,daisy,hog,30,d1,0.3786329795595696
color,daisy,hog,10,d1,0.44960722505668926
color,daisy,hog,5,d1,0.4723472222222223
color,daisy,hog,3,d1,0.4695
color,daisy,hog,1,d1,0.434
color,daisy,vgg,None,d1,0.3045656554928086
color,daisy,vgg,300,d1,0.3363592684189968
color,daisy,vgg,200,d1,0.37494491953700887
color,daisy,vgg,100,d1,0.4471318238862708
color,daisy,vgg,50,d1,0.5170807968749608
color,daisy,vgg,30,d1,0.5734123771245274
color,daisy,vgg,10,d1,0.6868727554169816
color,daisy,vgg,5,d1,0.7328916666666667
color,daisy,vgg,3,d1,0.7461666666666666
color,daisy,vgg,1,d1,0.7119999999999999
color,daisy,res,None,d1,0.23241713889733867
color,daisy,res,300,d1,0.2483151372889852
color,daisy,res,200,d1,0.2802782348511631
color,daisy,res,100,d1,0.33652385474395446
color,daisy,res,50,d1,0.38882899823444717
color,daisy,res,30,d1,0.4313774603823688
color,daisy,res,10,d1,0.5053778869096883
color,daisy,res,5,d1,0.5282626675984261
color,daisy,res,3,d1,0.5236065543503624
color,daisy,res,1,d1,0.48279768631781017
color,edge,gabor,None,d1,0.08202191403401538
color,edge,gabor,300,d1,0.10769642237456674
color,edge,gabor,200,d1,0.1327835191952724
color,edge,gabor,100,d1,0.1885792338985508
color,edge,gabor,50,d1,0.23523309108449347
color,edge,gabor,30,d1,0.27136717283073125
color,edge,gabor,10,d1,0.3141809523809524
color,edge,gabor,5,d1,0.3106305555555555
color,edge,gabor,3,d1,0.29933333333333334
color,edge,gabor,1,d1,0.258
color,edge,hog,None,d1,0.08172484529645084
color,edge,hog,300,d1,0.1069039029507313
color,edge,hog,200,d1,0.13205255764821977
color,edge,hog,100,d1,0.18940781771002263
color,edge,hog,50,d1,0.23312878940374884
color,edge,hog,30,d1,0.2673578035116845
color,edge,hog,10,d1,0.31031373015873015
color,edge,hog,5,d1,0.3090388888888889
color,edge,hog,3,d1,0.30233333333333334
color,edge,hog,1,d1,0.254
color,edge,vgg,None,d1,0.08300560434426041
color,edge,vgg,300,d1,0.10896413745799956
color,edge,vgg,200,d1,0.13466838969880426
color,edge,vgg,100,d1,0.19220319708906503
color,edge,vgg,50,d1,0.2401752809700739
color,edge,vgg,30,d1,0.27809383427703854
color,edge,vgg,10,d1,0.3238897619047619
color,edge,vgg,5,d1,0.3221055555555556
color,edge,vgg,3,d1,0.312
color,edge,vgg,1,d1,0.27199999999999996
color,edge,res,None,d1,0.08838094972602857
color,edge,res,300,d1,0.11040363083448254
color,edge,res,200,d1,0.1447667403602535
color,edge,res,100,d1,0.19326663392875745
color,edge,res,50,d1,0.245358651889872
color,edge,res,30,d1,0.2734393226595117
color,edge,res,10,d1,0.3227361045320539
color,edge,res,5,d1,0.3172429818547466
color,edge,res,3,d1,0.3094976014410999
color,edge,res,1,d1,0.26729737118746405
color,gabor,hog,None,d1,0.18683066087525443
color,gabor,hog,300,d1,0.21373183328399667
color,gabor,hog,200,d1,0.24244437425336213
color,gabor,hog,100,d1,0.2949302171557211
color,gabor,hog,50,d1,0.34413310736112634
color,gabor,hog,30,d1,0.3900365531303128
color,gabor,hog,10,d1,0.4659527163643235
color,gabor,hog,5,d1,0.4909722222222222
color,gabor,hog,3,d1,0.49949999999999994
color,gabor,hog,1,d1,0.462
color,gabor,vgg,None,d1,0.32148034746478665
color,gabor,vgg,300,d1,0.35278151672913266
color,gabor,vgg,200,d1,0.3952567018780574
color,gabor,vgg,100,d1,0.46525127237634123
