feat0,feat1,feat2,feat3,depth,distance,MMAP
color,daisy,edge,gabor,None,d1,0.08213364429263238
color,daisy,edge,gabor,300,d1,0.10743189588855494
color,daisy,edge,gabor,200,d1,0.13271106182498071
color,daisy,edge,gabor,100,d1,0.18865044248791885
color,daisy,edge,gabor,50,d1,0.2359915524543074
color,daisy,edge,gabor,30,d1,0.27205857430637576
color,daisy,edge,gabor,10,d1,0.31219109788359783
color,daisy,edge,gabor,5,d1,0.30896666666666667
color,daisy,edge,gabor,3,d1,0.303
color,daisy,edge,gabor,1,d1,0.26
color,daisy,edge,hog,None,d1,0.08169952814921506
color,daisy,edge,hog,300,d1,0.10701952642407479
color,daisy,edge,hog,200,d1,0.1326835760768637
color,daisy,edge,hog,100,d1,0.18888069279097328
color,daisy,edge,hog,50,d1,0.2354018498635685
color,daisy,edge,hog,30,d1,0.2699674210169022
color,daisy,edge,hog,10,d1,0.3135880952380952
color,daisy,edge,hog,5,d1,0.30693888888888887
color,daisy,edge,hog,3,d1,0.301
color,daisy,edge,hog,1,d1,0.258
color,daisy,edge,vgg,None,d1,0.08296602501056344
color,daisy,edge,vgg,300,d1,0.10881144442329978
color,daisy,edge,vgg,200,d1,0.1344648200293688
color,daisy,edge,vgg,100,d1,0.19244495141663706
color,daisy,edge,vgg,50,d1,0.23683505833810475
color,daisy,edge,vgg,30,d1,0.2721812829270237
color,daisy,edge,vgg,10,d1,0.3189111904761905
color,daisy,edge,vgg,5,d1,0.31926388888888885
color,daisy,edge,vgg,3,d1,0.3088333333333333
color,daisy,edge,vgg,1,d1,0.264
color,daisy,edge,res,None,d1,0.0884349740843999
color,daisy,edge,res,300,d1,0.11021893165779978
color,daisy,edge,res,200,d1,0.14417180292863216
color,daisy,edge,res,100,d1,0.19245246573763886
color,daisy,edge,res,50,d1,0.24514492576060365
color,daisy,edge,res,30,d1,0.27464978390196326
color,daisy,edge,res,10,d1,0.31950463440073473
color,daisy,edge,res,5,d1,0.3183811682355026
color,daisy,edge,res,3,d1,0.3047440231480479
color,daisy,edge,res,1,d1,0.26681677575950025
color,daisy,gabor,hog,None,d1,0.1855637948707216
color,daisy,gabor,hog,300,d1,0.21241970459483117
color,daisy,gabor,hog,200,d1,0.2433623755471817
color,daisy,gabor,hog,100,d1,0.297882074946408
color,daisy,gabor,hog,50,d1,0.3506950629882173
color,daisy,gabor,hog,30,d1,0.395869013281903
color,daisy,gabor,hog,10,d1,0.47591656368102797
color,daisy,gabor,hog,5,d1,0.5062249999999999
color,daisy,gabor,hog,3,d1,0.5103333333333332
color,daisy,gabor,hog,1,d1,0.466
color,daisy,gabor,vgg,None,d1,0.32099457527748965
color,daisy,gabor,vgg,300,d1,0.3523651986162574
color,daisy,gabor,vgg,200,d1,0.3956429776536396
color,daisy,gabor,vgg,100,d1,0.4676371661032161
color,daisy,gabor,vgg,50,d1,0.540184685302585
color,daisy,gabor,vgg,30,d1,0.5940873172329124
color,daisy,gabor,vgg,10,d1,0.7035526080246913
color,daisy,gabor,vgg,5,d1,0.7495999999999999
color,daisy,gabor,vgg,3,d1,0.7596666666666665
color,daisy,gabor,vgg,1,d1,0.7260000000000001
color,daisy,gabor,res,None,d1,0.2468742030301445
color,daisy,gabor,res,300,d1,0.26398421027592284
color,daisy,gabor,res,200,d1,0.2973376689197125
color,daisy,gabor,res,100,d1,0.3574967659769531
color,daisy,gabor,res,50,d1,0.41843558832757977
color,daisy,gabor,res,30,d1,0.46046069860307504
color,daisy,gabor,res,10,d1,0.5380912679996479
color,daisy,gabor,res,5,d1,0.5587691481343829
color,daisy,gabor,res,3,d1,0.5584886162169445
color,daisy,gabor,res,1,d1,0.5154777063321955
color,daisy,hog,vgg,None,d1,0.28644790048325847
color,daisy,hog,vgg,300,d1,0.3194634197960547
color,daisy,hog,vgg,200,d1,0.35645184743246294
color,daisy,hog,vgg,100,d1,0.42043692251072623
color,daisy,hog,vgg,50,d1,0.4881972555016352
color,daisy,hog,vgg,30,d1,0.5445430995219929
color,daisy,hog,vgg,10,d1,0.6573865353363567
color,daisy,hog,vgg,5,d1,0.7091944444444443
color,daisy,hog,vgg,3,d1,0.7188333333333332
color,daisy,hog,vgg,1,d1,0.6619999999999999
color,daisy,hog,res,None,d1,0.21446823194161918
color,daisy,hog,res,300,d1,0.23044172908227492
color,daisy,hog,res,200,d1,0.2584204383685297
color,daisy,hog,res,100,d1,0.31262933412925176
color,daisy,hog,res,50,d1,0.3704827812668758
color,daisy,hog,res,30,d1,0.4133516821525886
color,daisy,hog,res,10,d1,0.48505425252938317
color,daisy,hog,res,5,d1,0.5046380052660046
color,daisy,hog,res,3,d1,0.5005159156861942
color,daisy,hog,res,1,d1,0.4599299845321517
color,daisy,vgg,res,None,d1,0.35056586347060154
color,daisy,vgg,res,300,d1,0.3657277157126641
color,daisy,vgg,res,200,d1,0.40589105332597625
color,daisy,vgg,res,100,d1,0.47168578880819306
color,daisy,vgg,res,50,d1,0.536059899982048
color,daisy,vgg,res,30,d1,0.5862096065001963
color,daisy,vgg,res,10,d1,0.6846097384914615
color,daisy,vgg,res,5,d1,0.7258884152578683
color,daisy,vgg,res,3,d1,0.7357801713250629
color,daisy,vgg,res,1,d1,0.7051214286229767
color,edge,gabor,hog,None,d1,0.08200208183435485
color,edge,gabor,hog,300,d1,0.10722695466834496
color,edge,gabor,hog,200,d1,0.1329167861977082
color,edge,gabor,hog,100,d1,0.1899249149067112
color,edge,gabor,hog,50,d1,0.23555216630703657
color,edge,gabor,hog,30,d1,0.27003750399077325
color,edge,gabor,hog,10,d1,0.31438396825396825
color,edge,gabor,hog,5,d1,0.31452777777777774
color,edge,gabor,hog,3,d1,0.30516666666666664
color,edge,gabor,hog,1,d1,0.262
color,edge,gabor,vgg,None,d1,0.08270054634802769
color,edge,gabor,vgg,300,d1,0.10828143304789631
color,edge,gabor,vgg,200,d1,0.13404769844166167
color,edge,gabor,vgg,100,d1,0.19007597561846762
color,edge,gabor,vgg,50,d1,0.2348530683179208
color,edge,gabor,vgg,30,d1,0.2733771573499786
color,edge,gabor,vgg,10,d1,0.3185916402116402
color,edge,gabor,vgg,5,d1,0.31830833333333336
color,edge,gabor,vgg,3,d1,0.30750000000000005
color,edge,gabor,vgg,1,d1,0.264
color,edge,gabor,res,None,d1,0.08908507748679968
color,edge,gabor,res,300,d1,0.11157971908288772
color,edge,gabor,res,200,d1,0.1453910687467198
color,edge,gabor,res,100,d1,0.19466350596555965
color,edge,gabor,res,50,d1,0.25356916816845726
color,edge,gabor,res,30,d1,0.28394563341166995
color,edge,gabor,res,10,d1,0.32928827677291556
color,edge,gabor,res,5,d1,0.3278079343486464
color,edge,gabor,res,3,d1,0.32050118193926247
color,edge,gabor,res,1,d1,0.2811335659524514
color,edge,hog,vgg,None,d1,0.08294641265103518
color,edge,hog,vgg,300,d1,0.10878645011725518
color,edge,hog,vgg,200,d1,0.1354922703753307
color,edge,hog,vgg,100,d1,0.1896114800726698
color,edge,hog,vgg,50,d1,0.2381729656591514
color,edge,hog,vgg,30,d1,0.27451016109895304
color,edge,hog,vgg,10,d1,0.31607424603174594
color,edge,hog,vgg,5,d1,0.31597222222222227
color,edge,hog,vgg,3,d1,0.3015
color,edge,hog,vgg,1,d1,0.258
color,edge,hog,res,None,d1,0.08910599350274863
color,edge,hog,res,300,d1,0.11130150079751475
color,edge,hog,res,200,d1,0.14524259649079657
color,edge,hog,res,100,d1,0.19328969717577213
color,edge,hog,res,50,d1,0.25046859511725544
color,edge,hog,res,30,d1,0.2765135842000749
color,edge,hog,res,10,d1,0.3261128722842345
color,edge,hog,res,5,d1,0.3237269015470253
color,edge,hog,res,3,d1,0.3124663680546033
color,edge,hog,res,1,d1,0.2778664833618394
color,edge,vgg,res,None,d1,0.0899431729219025
color,edge,vgg,res,300,d1,0.1126683771247664
color,edge,vgg,res,200,d1,0.1464440450581615
color,edge,vgg,res,100,d1,0.19720182555748958
color,edge,vgg,res,50,d1,0.25712763128022803
color,edge,vgg,res,30,d1,0.28679116970755764
color,edge,vgg,res,10,d1,0.3382014483901223
color,edge,vgg,res,5,d1,0.3368357000584555
color,edge,vgg,res,3,d1,0.32498699225324607
